AssetType,Easting,Northing,Geometry,Location,Ward,Lower Layer Super Output Areas (LSOA),Output Areas (OA),Middle Layer Super Output Areas (MSOA),Boundary
LD Watercourses,375045.77428095753,164352.87373450102,"{""type"":""LineString"",""coordinates"":[[-2.360213055220402,51.377717931090714],[-2.359634154308064,51.377631077770708]]}","(51.377674504430715, -2.3599236047642327)",35,21,13,7,1
LD Watercourses,375175.09806432796,165006.54662258248,"{""type"":""LineString"",""coordinates"":[[-2.358095513399563,51.383542449987075],[-2.358127385092971,51.383572915490511]]}","(51.3835576827388, -2.358111449246267)",35,20,11,7,1
LD Watercourses,375177.67464592244,165002.4228030135,"{""type"":""LineString"",""coordinates"":[[-2.358095513399563,51.383542449987075],[-2.358052758695226,51.383498983543198]]}","(51.38352071676513, -2.3580741360473945)",35,20,11,7,1
LD Watercourses,375348.211367207,164314.04984772249,"{""type"":""LineString"",""coordinates"":[[-2.355594119711145,51.377329785830426],[-2.3555571791477,51.377347606568478]]}","(51.37733869619945, -2.355575649429422)",35,21,13,7,1
LD Watercourses,375615.87490826251,163993.52659654903,"{""type"":""LineString"",""coordinates"":[[-2.351766184495527,51.374526405191077],[-2.351649681778267,51.374410256112391]]}","(51.37446833065173, -2.351707933136897)",33,111,573,12,1
LD Watercourses,375617.12403501954,163993.85150354501,"{""type"":""LineString"",""coordinates"":[[-2.351635393867697,51.37441614195027],[-2.351744626157826,51.37452646995461]]}","(51.37447130595244, -2.351690010012761)",33,111,573,12,1
LD Watercourses,378875.18054177152,163209.32607161452,"{""type"":""LineString"",""coordinates"":[[-2.304724087147504,51.367496835845273],[-2.304948382285812,51.367600076189028]]}","(51.36754845601715, -2.3048362347166584)",1,27,49,10,1
LD Watercourses,378457.51460410404,162588.32883022551,"{""type"":""LineString"",""coordinates"":[[-2.310750643606083,51.361938926948298],[-2.310845162315489,51.361958991456625]]}","(51.36194895920246, -2.310797902960786)",1,27,49,10,1
LD Watercourses,378468.60421128501,162584.2999834705,"{""type"":""LineString"",""coordinates"":[[-2.310694539440766,51.361925592160453],[-2.310582224956794,51.361900720612411]]}","(51.36191315638644, -2.31063838219878)",1,27,49,10,1
LD Watercourses,378525.7342396545,162745.9187205885,"{""type"":""LineString"",""coordinates"":[[-2.309720397024988,51.36334674830767],[-2.309934924312277,51.363390317185917]]}","(51.36336853274679, -2.3098276606686325)",1,27,49,10,1
