the_geom,Name,Descriptio
POINT (-2.49736888519308 51.3171614474271),kml_114,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.47174325802983 51.3180097761544),kml_115,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.47376699023721 51.3180711787851),kml_116,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.46013311652005 51.3190103819034),kml_117,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.43727185771137 51.3248426775514),kml_118,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.43079542464574 51.3260644170755),kml_119,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.39180525122428 51.3316479914987),kml_120,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.41650488465418 51.3324721407386),kml_121,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.40948650619159 51.3325061637221),kml_122,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.39126262558376 51.3348276663362),kml_123,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.49369966234804 51.2784985594264),kml_124,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.49169996188655 51.280338370182),kml_125,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.44722907269099 51.2896362427101),kml_126,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.46534358891317 51.2910186343967),kml_127,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.4622638590493 51.2912619552771),kml_128,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.47733463986945 51.2915926637361),kml_129,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.44591498090639 51.2920874185422),kml_130,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.44632491839363 51.2922324706625),kml_131,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.45177289989097 51.292307569537),kml_132,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.43785855813927 51.2930766374574),kml_133,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.42380786251805 51.2971793806135),kml_134,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.4946233156474 51.4102632598557),kml_135,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.49574374836847 51.4134105513609),kml_136,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.49551878422579 51.4141060907951),kml_137,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.49489890819069 51.4147922422441),kml_138,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.49491150813929 51.4154536066401),kml_139,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.49455438522684 51.4157705422572),kml_140,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.45908038497607 51.4167305221597),kml_141,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.49452041307586 51.4171482641989),kml_142,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.49427858811128 51.4174933872657),kml_143,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.49356378099113 51.418013363838),kml_144,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.48983175902131 51.4183924577833),kml_145,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.50744677997121 51.4184619309041),kml_146,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.50805450626944 51.4186489666494),kml_147,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.49089393742088 51.4192477278396),kml_148,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.47216774737161 51.4236620259534),kml_149,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.56119780560194 51.3720668447501),kml_150,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.55153092002353 51.3712208651042),kml_151,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.55090891662066 51.3712375463595),kml_152,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.54919629879168 51.3712385791367),kml_153,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.54917954998208 51.371660070409),kml_154,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
