uri,postcode,ward_uri,ward_name,centroid,Ward,Output Areas (OA),Middle Layer Super Output Areas (MSOA),Boundary,Lower Layer Super Output Areas (LSOA)
http://data.ordnancesurvey.co.uk/id/postcodeunit/BA39BD,BA3 9BD,http://data.ordnancesurvey.co.uk/id/7000000000000882,Radstock,"(51.291464, -2.446783)",12,413,24,1,79
http://data.ordnancesurvey.co.uk/id/postcodeunit/BS312HH,BS31 2HH,http://data.ordnancesurvey.co.uk/id/7000000000000878,Keynsham North,"(51.413507, -2.511613)",24,163,1,1,50
http://data.ordnancesurvey.co.uk/id/postcodeunit/BS394HW,BS39 4HW,http://data.ordnancesurvey.co.uk/id/7000000000039078,Publow and Whitchurch,"(51.372227, -2.547198)",7,399,20,1,74
http://data.ordnancesurvey.co.uk/id/postcodeunit/BS311BL,BS31 1BL,http://data.ordnancesurvey.co.uk/id/7000000000000878,Keynsham North,"(51.413709, -2.500213)",24,158,1,1,49
http://data.ordnancesurvey.co.uk/id/postcodeunit/BA29BT,BA2 9BT,http://data.ordnancesurvey.co.uk/id/7000000000039082,Bathavon West,"(51.381608, -2.427456)",9,68,22,1,28
http://data.ordnancesurvey.co.uk/id/postcodeunit/BS406AA,BS40 6AA,http://data.ordnancesurvey.co.uk/id/7000000000000538,Mendip,"(51.300719, -2.621783)",2,272,21,1,6
http://data.ordnancesurvey.co.uk/id/postcodeunit/BA33EJ,BA3 3EJ,http://data.ordnancesurvey.co.uk/id/7000000000000519,Westfield,"(51.283314, -2.459364)",26,505,26,1,98
http://data.ordnancesurvey.co.uk/id/postcodeunit/BS311HR,BS31 1HR,http://data.ordnancesurvey.co.uk/id/7000000000000568,Keynsham East,"(51.41067, -2.49161)",16,156,3,1,45
http://data.ordnancesurvey.co.uk/id/postcodeunit/BA27WF,BA2 7WF,http://data.ordnancesurvey.co.uk/id/7000000000025555,Bathavon South,"(51.3395, -2.303703)",10,53,10,1,113
http://data.ordnancesurvey.co.uk/id/postcodeunit/BS408PS,BS40 8PS,http://data.ordnancesurvey.co.uk/id/7000000000025513,Chew Valley North,"(51.367086, -2.617324)",6,81,21,1,31
http://data.ordnancesurvey.co.uk/id/postcodeunit/BS140QL,BS14 0QL,http://data.ordnancesurvey.co.uk/id/7000000000039078,Publow and Whitchurch,"(51.404655, -2.548347)",7,403,20,1,75
http://data.ordnancesurvey.co.uk/id/postcodeunit/BA26QY,BA2 6QY,http://data.ordnancesurvey.co.uk/id/7000000000000592,Walcot,"(51.389768, -2.353546)",36,498,6,1,96
http://data.ordnancesurvey.co.uk/id/postcodeunit/BS312RQ,BS31 2RQ,http://data.ordnancesurvey.co.uk/id/7000000000000625,Keynsham South,"(51.406107, -2.513744)",37,177,2,1,51
http://data.ordnancesurvey.co.uk/id/postcodeunit/BA33TL,BA3 3TL,http://data.ordnancesurvey.co.uk/id/7000000000000519,Westfield,"(51.287443, -2.461227)",26,510,26,1,97
http://data.ordnancesurvey.co.uk/id/postcodeunit/BA33SH,BA3 3SH,http://data.ordnancesurvey.co.uk/id/7000000000000519,Westfield,"(51.288537, -2.459617)",26,506,26,1,99
http://data.ordnancesurvey.co.uk/id/postcodeunit/BS395TU,BS39 5TU,http://data.ordnancesurvey.co.uk/id/7000000000025512,Chew Valley South,"(51.340667, -2.593079)",4,91,21,1,33
http://data.ordnancesurvey.co.uk/id/postcodeunit/BS395UJ,BS39 5UJ,http://data.ordnancesurvey.co.uk/id/7000000000025512,Chew Valley South,"(51.325162, -2.582977)",4,91,21,1,33
http://data.ordnancesurvey.co.uk/id/postcodeunit/BA32EL,BA3 2EL,http://data.ordnancesurvey.co.uk/id/7000000000000523,Midsomer Norton North,"(51.289096, -2.488218)",11,286,25,1,10
http://data.ordnancesurvey.co.uk/id/postcodeunit/BS396AB,BS39 6AB,http://data.ordnancesurvey.co.uk/id/7000000000039079,High Littleton,"(51.320096, -2.508121)",3,135,23,1,42
http://data.ordnancesurvey.co.uk/id/postcodeunit/BA26PA,BA2 6PA,http://data.ordnancesurvey.co.uk/id/7000000000000585,Abbey,"(51.38726, -2.353211)",35,19,7,1,21
http://data.ordnancesurvey.co.uk/id/postcodeunit/BS395XR,BS39 5XR,http://data.ordnancesurvey.co.uk/id/7000000000025512,Chew Valley South,"(51.327995, -2.609349)",4,89,21,1,33
http://data.ordnancesurvey.co.uk/id/postcodeunit/BS394JU,BS39 4JU,http://data.ordnancesurvey.co.uk/id/7000000000025532,Farmborough,"(51.372691, -2.520309)",8,123,16,1,41
http://data.ordnancesurvey.co.uk/id/postcodeunit/BS394NH,BS39 4NH,http://data.ordnancesurvey.co.uk/id/7000000000025529,Clutton,"(51.351949, -2.539791)",5,94,20,1,34
http://data.ordnancesurvey.co.uk/id/postcodeunit/BS311EY,BS31 1EY,http://data.ordnancesurvey.co.uk/id/7000000000000568,Keynsham East,"(51.410338, -2.493691)",16,156,3,1,45
http://data.ordnancesurvey.co.uk/id/postcodeunit/BS394BH,BS39 4BH,http://data.ordnancesurvey.co.uk/id/7000000000039078,Publow and Whitchurch,"(51.370756, -2.546462)",7,400,20,1,74
http://data.ordnancesurvey.co.uk/id/postcodeunit/BS311XF,BS31 1XF,http://data.ordnancesurvey.co.uk/id/7000000000000568,Keynsham East,"(51.400746, -2.488901)",16,150,3,1,44
http://data.ordnancesurvey.co.uk/id/postcodeunit/BS408RR,BS40 8RR,http://data.ordnancesurvey.co.uk/id/7000000000025513,Chew Valley North,"(51.367099, -2.604539)",6,78,21,1,31
http://data.ordnancesurvey.co.uk/id/postcodeunit/BS394ER,BS39 4ER,http://data.ordnancesurvey.co.uk/id/7000000000025529,Clutton,"(51.367195, -2.580105)",5,101,20,1,34
http://data.ordnancesurvey.co.uk/id/postcodeunit/BS312NF,BS31 2NF,http://data.ordnancesurvey.co.uk/id/7000000000000625,Keynsham South,"(51.409651, -2.502972)",37,183,2,1,53
http://data.ordnancesurvey.co.uk/id/postcodeunit/BS313TH,BS31 3TH,http://data.ordnancesurvey.co.uk/id/7000000000000569,Saltford,"(51.40623, -2.46922)",17,427,16,1,82
http://data.ordnancesurvey.co.uk/id/postcodeunit/BS395RY,BS39 5RY,http://data.ordnancesurvey.co.uk/id/7000000000025529,Clutton,"(51.332919, -2.546171)",5,98,20,1,35
http://data.ordnancesurvey.co.uk/id/postcodeunit/BA28JH,BA2 8JH,http://data.ordnancesurvey.co.uk/id/7000000000025545,Peasedown,"(51.312691, -2.433444)",15,378,22,1,73
http://data.ordnancesurvey.co.uk/id/postcodeunit/BS311QS,BS31 1QS,http://data.ordnancesurvey.co.uk/id/7000000000000568,Keynsham East,"(51.408329, -2.48372)",16,141,3,1,47
http://data.ordnancesurvey.co.uk/id/postcodeunit/BA33NW,BA3 3NW,http://data.ordnancesurvey.co.uk/id/7000000000000882,Radstock,"(51.289383, -2.435863)",12,418,24,1,78
http://data.ordnancesurvey.co.uk/id/postcodeunit/BA27TY,BA2 7TY,http://data.ordnancesurvey.co.uk/id/7000000000025555,Bathavon South,"(51.339412, -2.306373)",10,53,10,1,113
http://data.ordnancesurvey.co.uk/id/postcodeunit/BS312HY,BS31 2HY,http://data.ordnancesurvey.co.uk/id/7000000000000878,Keynsham North,"(51.414903, -2.506883)",24,160,1,1,50
http://data.ordnancesurvey.co.uk/id/postcodeunit/BS396TT,BS39 6TT,http://data.ordnancesurvey.co.uk/id/7000000000039079,High Littleton,"(51.295273, -2.529618)",3,133,23,1,43
http://data.ordnancesurvey.co.uk/id/postcodeunit/BA33XU,BA3 3XU,http://data.ordnancesurvey.co.uk/id/7000000000000519,Westfield,"(51.282627, -2.46938)",26,516,26,1,98
http://data.ordnancesurvey.co.uk/id/postcodeunit/BA32PH,BA3 2PH,http://data.ordnancesurvey.co.uk/id/7000000000000522,Midsomer Norton Redfield,"(51.281944, -2.493246)",25,302,27,1,13
http://data.ordnancesurvey.co.uk/id/postcodeunit/BA32SZ,BA3 2SZ,http://data.ordnancesurvey.co.uk/id/7000000000000523,Midsomer Norton North,"(51.292558, -2.488197)",11,280,25,1,10
http://data.ordnancesurvey.co.uk/id/postcodeunit/BA27SY,BA2 7SY,http://data.ordnancesurvey.co.uk/id/7000000000025555,Bathavon South,"(51.322681, -2.331762)",10,55,10,1,114
http://data.ordnancesurvey.co.uk/id/postcodeunit/BA29BS,BA2 9BS,http://data.ordnancesurvey.co.uk/id/7000000000039082,Bathavon West,"(51.381119, -2.428543)",9,68,22,1,28
http://data.ordnancesurvey.co.uk/id/postcodeunit/BA33ET,BA3 3ET,http://data.ordnancesurvey.co.uk/id/7000000000000882,Radstock,"(51.294443, -2.43901)",12,407,24,1,77
http://data.ordnancesurvey.co.uk/id/postcodeunit/BA27BY,BA2 7BY,http://data.ordnancesurvey.co.uk/id/7000000000025555,Bathavon South,"(51.345388, -2.346399)",10,58,10,1,113
http://data.ordnancesurvey.co.uk/id/postcodeunit/BS397AP,BS39 7AP,http://data.ordnancesurvey.co.uk/id/7000000000000526,Paulton,"(51.308266, -2.507416)",13,364,23,1,68
