postcode,status,has_lines_below_2m,average_speed,median_speed,max_speed,has_fibre,connections,longitude,latitude,location,Ward,Lower Layer Super Output Areas (LSOA),Output Areas (OA),Middle Layer Super Output Areas (MSOA),Boundary
BA17TX,OK,N,11.4,11.3,14.3,N,7,-2.30059086517871,51.4010324898633,"(51.401032, -2.300591)",1,26,43,10,1
BA22HE,OK,N,28.5,20,30,Y,21,-2.38145592285349,51.3705579847694,"(51.370558, -2.381456)",31,66,359,14,1
BS395QH,Insufficient Premises,,,,,N,2,-2.51726253541424,51.3369111843692,"(51.336911, -2.517263)",8,40,126,16,1
BA22BJ,Insufficient Data,,,,,Y,2,-2.37871448478841,51.3638860414298,"(51.363886, -2.378714)",30,19,330,19,1
BA13DP,OK,N,17,10.2,30,Y,9,-2.38570778559159,51.3841844622659,"(51.384184, -2.385708)",34,54,207,9,1
BA17JZ,OK,N,9.1,9.7,19,N,25,-2.30742494582872,51.4104829428166,"(51.410483, -2.307425)",1,26,36,10,1
BA25RH,OK,N,13.7,14.3,20.6,N,17,-2.36789235778574,51.355917913807,"(51.355918, -2.367892)",18,4,262,17,1
BA21EN,Insufficient Premises,,,,,Y,2,-2.38813253670377,51.3803459906327,"(51.380346, -2.388133)",32,102,523,13,1
BA25AP,OK,N,11.7,12.6,14.4,N,6,-2.34620271880614,51.3648319091276,"(51.364832, -2.346203)",19,37,109,18,1
BA12EU,OK,N,30,21,30,Y,22,-2.36336065313208,51.3857395614874,"(51.38574, -2.363361)",35,22,25,7,1
BA16HR,OK,N,8.2,5.3,30,Y,13,-2.3586213905381,51.3971376254853,"(51.397138, -2.358621)",23,57,215,4,1
BS397NL,OK,N,25.5,21.8,30,Y,9,-2.49765235728697,51.3063251041948,"(51.306325, -2.497652)",13,69,366,23,1
BA34BB,OK,N,27.7,13.3,30,Y,5,-2.46998908377341,51.2819636398168,"(51.281964, -2.469989)",26,98,516,26,1
BS312QL,OK,N,20.6,11.8,30,Y,7,-2.51160847707166,51.4079348026962,"(51.407935, -2.511608)",37,51,185,2,1
BS311TF,No Data,,,,,Y,0,-2.47760659014837,51.4107398974265,"(51.41074, -2.477607)",16,47,154,3,1
BA22HW,OK,N,17.2,20,30,Y,9,-2.37871113393788,51.3704410103617,"(51.370441, -2.378711)",31,65,355,14,1
BS312FG,OK,N,18.5,19.8,22.8,N,8,-2.50289467510741,51.4170001755826,"(51.417, -2.502895)",24,49,173,1,1
BA24SH,OK,N,11.2,6.2,30,Y,7,-2.36231399522937,51.3714909745605,"(51.371491, -2.362314)",18,3,255,17,1
BA33SG,No Data,,,,,Y,0,-2.45668635937854,51.2894795501699,"(51.28948, -2.456686)",26,99,508,26,1
BA21BL,OK,Y,15.2,6,30,Y,14,-2.39354989694483,51.3803908519805,"(51.380391, -2.39355)",28,92,482,11,1
BS397XT,OK,Y,12,3.1,30,Y,4,-2.49722206479972,51.3050051326816,"(51.305005, -2.497222)",13,69,370,23,1
BA10BJ,No premises,,,,,N,0,-2.3555616880202,51.37885788809,"(51.378858, -2.355562)",35,21,13,7,1
BA25AX,OK,Y,5.1,4.8,8,N,14,-2.35258976692414,51.3679419630884,"(51.367942, -2.35259)",33,110,575,12,1
BA12HB,No premises,,,,,Y,0,-2.36449280859902,51.3835420726828,"(51.383542, -2.364493)",34,55,193,9,1
BA26EN,OK,N,5.1,5.1,8.4,Y,6,-2.34028554174815,51.3784806688843,"(51.378481, -2.340286)",22,29,77,12,1
BA15SG,OK,Y,21.7,12.7,30,Y,13,-2.36754312082565,51.3947901166233,"(51.39479, -2.367543)",21,1,234,7,1
BA26UP,OK,Y,13.9,3.2,30,Y,16,-2.32238207559946,51.39265724737,"(51.392657, -2.322382)",1,27,27,10,1
BA19AQ,OK,Y,1.2,1.3,1.7,Y,12,-2.43262286102327,51.4037213312159,"(51.403721, -2.432623)",1,25,50,10,1
BA12TE,OK,N,21.8,15.3,30,Y,29,-2.36847248612183,51.3906060695099,"(51.390606, -2.368472)",21,2,244,7,1
BA25QU,OK,N,13.2,13.3,18.8,N,5,-2.36025479757285,51.3580637110478,"(51.358064, -2.360255)",19,36,119,18,1
BA16NJ,OK,Y,19,5.3,30,Y,19,-2.35655513569265,51.3994457992132,"(51.399446, -2.356555)",23,57,226,4,1
BA13RA,OK,Y,11.1,4.5,30,Y,14,-2.39549919269398,51.3898255577142,"(51.389826, -2.395499)",29,16,315,8,1
BA11BA,OK,N,16,15.9,22,N,5,-2.36033719081111,51.3831862747019,"(51.383186, -2.360337)",35,20,11,7,1
BA10TR,Insufficient Premises,,,,,N,2,-2.35879075452497,51.382049079234,"(51.382049, -2.358791)",35,20,12,7,1
BA26QG,No Data,,,,,Y,0,-2.35084131824347,51.3872523734786,"(51.387252, -2.350841)",36,96,499,6,1
BA26JT,OK,N,28.1,30,30,Y,6,-2.3421853407499,51.3846883846488,"(51.384688, -2.342185)",22,30,72,12,1
BA22RA,Insufficient Data,,,,,Y,2,-2.39476131163102,51.3658831518345,"(51.365883, -2.394761)",27,84,448,15,1
BS319DS,No premises,,,,,N,0,-2.49892474066113,51.4155874740204,"(51.415587, -2.498925)",24,49,158,1,1
BS408BF,No premises,,,,,N,0,-2.63293171015428,51.3501275244517,"(51.350128, -2.632932)",6,31,82,21,1
BA20NQ,No Data,,,,,N,0,-2.46232185066451,51.3251279937636,"(51.325128, -2.462322)",14,87,459,16,1
BA22QJ,No Data,,,,,Y,0,-2.39160938262351,51.3634749633465,"(51.363475, -2.391609)",30,62,340,19,1
BA10PP,No premises,,,,,N,0,-2.3555616880202,51.37885788809,"(51.378858, -2.355562)",35,21,13,7,1
BS312TY,OK,N,21.6,20,30,Y,18,-2.5089113549305,51.4058694709928,"(51.405869, -2.508911)",37,51,191,2,1
BA16LD,OK,N,6.6,6.6,8.5,Y,4,-2.3554348044316,51.394000257832,"(51.394, -2.355435)",36,93,502,6,1
BA25QY,OK,Y,15.4,17.5,21.4,N,26,-2.35843315881972,51.3583570372358,"(51.358357, -2.358433)",19,36,119,18,1
BS311PZ,OK,N,21,20,30,Y,13,-2.49161005347436,51.4066357141752,"(51.406636, -2.49161)",16,46,143,3,1
BA22DB,Insufficient Data,,,,,Y,2,-2.37353793712778,51.3684794519866,"(51.368479, -2.373538)",18,5,253,17,1
BS408TX,Insufficient Data,,,,,N,2,-2.63572363015749,51.3547252013485,"(51.354725, -2.635724)",6,31,83,21,1
BA17UD,OK,N,7.3,7.5,11.8,N,31,-2.29922418582941,51.3986711872845,"(51.398671, -2.299224)",1,24,45,10,1
BA20SJ,Insufficient Premises,,,,,N,2,-2.47238296794986,51.3307886264744,"(51.330789, -2.472383)",14,88,457,16,1
BS397TF,OK,Y,22.7,5.8,30,Y,8,-2.49714340127719,51.3030362538278,"(51.303036, -2.497143)",13,67,369,23,1
BA29AF,OK,Y,2.8,2.8,4.7,N,10,-2.44099938622887,51.3882963326561,"(51.388296, -2.440999)",8,41,125,16,1
BS408YL,No Data,,,,,N,0,-2.68413871007371,51.3425291990893,"(51.342529, -2.684139)",4,32,88,21,1
BA26PH,Insufficient Premises,,,,,N,2,-2.35632593704604,51.3866063958492,"(51.386606, -2.356326)",35,21,19,7,1
BA26HE,No Data,,,,,Y,0,-2.33305661363049,51.3782317035521,"(51.378232, -2.333057)",22,29,580,12,1
BS312LL,OK,N,16.5,14.6,30,Y,7,-2.5142756206922,51.4085885092217,"(51.408589, -2.514276)",24,48,170,1,1
BA10TY,Insufficient Premises,,,,,N,2,-2.35879075452497,51.382049079234,"(51.382049, -2.358791)",35,20,12,7,1
BA23PE,Insufficient Data,,,,,Y,2,-2.37865986675511,51.3729318784726,"(51.372932, -2.37866)",31,65,355,14,1
BA22SF,Insufficient Premises,,,,,N,2,-2.38295707880114,51.355923557939,"(51.355924, -2.382957)",30,60,333,19,1
BA27WG,OK,N,9.5,8.5,14.2,N,15,-2.30183767233715,51.3393282944499,"(51.339328, -2.301838)",10,113,53,10,1
BA21EN,No Data,,,,,Y,0,-2.38813253670377,51.3803459906327,"(51.380346, -2.388133)",32,102,523,13,1
BA13NJ,No premises,,,,,Y,0,-2.39056602716339,51.3927644084667,"(51.392764, -2.390566)",29,16,316,8,1
BA27BP,Insufficient Data,,,,,Y,2,-2.3114906500837,51.3803951151929,"(51.380395, -2.311491)",1,27,49,10,1
BS311NA,OK,N,30,30,30,Y,6,-2.48858147848035,51.4138417244187,"(51.413842, -2.488581)",16,45,155,3,1
BA21ES,OK,N,30,12.6,30,Y,6,-2.38819320631401,51.3807234406686,"(51.380723, -2.388193)",32,103,578,13,1
BA23WE,No premises,,,,,N,0,-2.3555616880202,51.37885788809,"(51.378858, -2.355562)",35,21,13,7,1
BA20LA,OK,N,17.6,21.3,23.1,N,4,-2.47478267568885,51.3268854716517,"(51.326885, -2.474783)",14,87,461,16,1
