Year,CP,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles,id,location,Ward,Lower Layer Super Output Areas (LSOA),Output Areas (OA),Middle Layer Super Output Areas (MSOA),Boundary
2000,74521,South West,Bath and North East Somerset,A36,PU,375856,165236,Darlington St,Warminster Rd,0.31,10,3,560,10,47,15,2,1,1,1,1,22,642,a3d95c20ddd82aed414f6f5632536bb35a74af65,"(51.38566, -2.34834)",22,30,74,12,1
2000,75360,South West,Bath and North East Somerset,A367,PU,374950,164450,Broad Quay,Corn St,0.06,2,2,154,16,16,2,0,0,0,0,0,2,189,e6d05460101734e413b249927afb71f5a598505b,"(51.37855, -2.36131)",35,20,14,7,1
2000,75361,South West,Bath and North East Somerset,A367,PU,375000,164490,Ambury,A3039,0.12,4,4,467,44,52,7,0,0,0,0,0,9,576,b8f1f5a50e338084eb15e2e2a63a205a28dffd2d,"(51.37891, -2.36059)",35,20,14,7,1
2000,75362,South West,Bath and North East Somerset,A367,PU,375040,164370,Churchill Bridge,A3039,0.06,2,2,234,22,26,4,0,0,0,0,0,4,288,57a19830cd8eef6175fe5b2dfdd0aff87d6449c0,"(51.37784, -2.36001)",35,21,13,7,1
2000,75363,South West,Bath and North East Somerset,A367,PU,374970,164380,Churchill Bridge,Ambury,0.06,2,2,234,22,26,4,0,0,0,0,0,4,288,51dfde4e4f9bb4d9b8e489f1ea86a156bf4f0f40,"(51.37792, -2.36102)",35,20,12,7,1
2000,75364,South West,Bath and North East Somerset,A367,PU,374900,164410,Broad Quay,Avon St,0.06,0,2,119,5,11,1,0,0,0,0,0,2,137,c81b994dab9302b01b3ddb98516200d7898ab0c2,"(51.37819, -2.36203)",35,20,14,7,1
2000,75365,South West,Bath and North East Somerset,A367,PU,374900,164510,Green Park Rd,Ambury,0.12,1,3,238,9,21,3,0,0,0,0,0,3,274,d238b7a95c3f2727c7cf353563bf92fcd77e0758,"(51.37909, -2.36203)",35,20,14,7,1
2000,75366,South West,Bath and North East Somerset,A3039,PU,375030,165050,Northgate St,Saracen St,0.06,4,4,196,13,26,5,0,0,0,0,0,5,244,d9cbefe51bf009615404c4e7b659a8407daedecc,"(51.38395, -2.3602)",35,20,11,7,1
2000,75367,South West,Bath and North East Somerset,A3039,PU,375040,165110,Broad St,Walcot St,0.06,9,7,267,16,26,4,0,0,0,0,0,4,320,16d6ab96656f086c30abf4b025edc52465d4bf22,"(51.38449, -2.36006)",35,20,7,7,1
2000,75368,South West,Bath and North East Somerset,A3039,PU,375070,165050,Northgate St,Walcot St,0.06,4,3,127,5,11,2,0,0,0,0,0,2,148,1d411e0578688f7e1949369b61f34a54864734e7,"(51.38395, -2.35963)",35,20,11,7,1
2000,76061,South West,Bath and North East Somerset,A4,PR,371600,165740,A36,A4 principal,0.24,6,28,1552,23,172,19,1,0,1,1,0,22,1797,2b388d8f7194010160d30124ec951564bb2618f8,"(51.38998, -2.40954)",9,28,68,22,1
2000,77949,South West,Bath and North East Somerset,A367,PU,373750,162070,Sulis Manor Rd roundabout,A3062,0.49,9,62,2935,48,337,56,9,11,2,8,7,93,3475,b391a1e4f6ea5829239c5100c3465a226ec35792,"(51.3571, -2.37837)",30,60,334,19,1
2000,77950,South West,Bath and North East Somerset,A36,PU,373000,164660,Connection Rd,A3604,0.74,22,30,3617,111,407,95,11,4,8,16,8,143,4307,c80666f51286b914791c7f8ac508dab4b20d54d2,"(51.38035, -2.38934)",32,103,578,13,1
2000,77951,South West,Bath and North East Somerset,A36,TR,378950,164000,"Hanton Hill, Bathampton",B3108,2.85,15,49,8775,106,686,309,38,32,74,196,121,770,10387,8e9f2cfa651ec0dd201414706b4249f38239bd27,"(51.37467, -2.30381)",1,27,49,10,1
2000,77953,South West,Bath and North East Somerset,A363,PU,378660,167000,Bathford Hill,A4,0.12,2,6,233,1,36,9,1,0,1,1,3,15,290,03ab2e7c705361115a1ce533a91bb910a0c6ca3c,"(51.40162, -2.30815)",1,26,41,10,1
2000,77954,South West,Bath and North East Somerset,A431,PU,372600,165500,A4,Penn Hill Rd,0.8,32,12,1777,19,157,19,2,2,1,2,1,27,1993,be42866a0a19f6644d6182ea3311d51c87865c23,"(51.38787, -2.39515)",29,16,319,8,1
2000,77976,South West,Bath and North East Somerset,A37,PU,361230,168000,Staunton Lane,LA Boundary,0.31,3,32,1496,12,244,74,8,7,7,23,33,152,1936,e600515a553974e2782ca6fe3817025ee4a5bef4,"(51.40969, -2.55882)",7,75,402,20,1
2000,78006,South West,Bath and North East Somerset,A4175,PU,365100,168910,road to Stockwood Hill,B3116,0.37,25,44,1650,24,213,78,6,1,1,8,6,100,2031,1fc852187105552c5a89ca02a2d0cadc87df9c66,"(51.41813, -2.50327)",24,49,171,1,1
2000,78024,South West,Bath and North East Somerset,A362,PR,370250,154360,Manor Rd,LA Boundary,0.12,2,3,280,6,50,10,1,1,1,1,3,17,356,8f8626311cba45bee2a165128d7d61177b9c06d1,"(51.2876, -2.42799)",12,78,416,24,1
2000,99383,South West,Bath and North East Somerset,A4,TR,377610,166610,A46,A363,1.3,10,166,8173,81,930,256,32,28,36,40,40,432,9782,e98582cdff20ea587601d611d5b1c855be1234e2,"(51.39808, -2.32322)",1,24,31,10,1
2001,6133,South West,Bath and North East Somerset,A4,PU,375000,165200,Broad St,A3039,0.31,23,36,1487,10,188,36,2,1,0,0,0,39,1761,eb9376435fe0f937909744755eab5ffa416dd5a3,"(51.3853, -2.36064)",35,20,7,7,1
2001,6134,South West,Bath and North East Somerset,A4,PR,365000,169290,A4174/A4175,B3116,1.73,10,353,12585,131,2080,439,72,38,41,80,79,749,15898,0b5311fd1e0b81cc1f15b10f28c3b1fd35972d2a,"(51.42154, -2.50474)",24,49,171,1,1
2001,6382,South West,Bath and North East Somerset,A37,PR,361700,165000,B3130,Staunton Lane,1.98,13,189,8158,63,1363,385,51,38,32,110,200,816,10590,326d599ed9c680001738ea340d23d72fb48b8ccd,"(51.38275, -2.55174)",7,74,399,20,1
