Pinterest URL,Note,Title,Latitude,Longitude,Thumbnail,Original,Location,Address,Ward,Output Areas (OA),Middle Layer Super Output Areas (MSOA),Boundary,Lower Layer Super Output Areas (LSOA)
https://uk.pinterest.com/pin/287456388694709227,"MOCK GEORGIAN  51.384189, -2.376649",MOCK GEORGIAN ,51.384189,-2.376649,https://s-media-cache-ak0.pinimg.com/236x/44/a7/53/44a75310a0886371c0f539c3977701e6.jpg,https://s-media-cache-ak0.pinimg.com/originals/44/a7/53/44a75310a0886371c0f539c3977701e6.jpg,"(51.384189, -2.376649)",,32,538,13,1,103
https://uk.pinterest.com/pin/287456388692765343,"THE INVASION Burton St Bath BA1 1BN, UK 51.382839, -2.360857",THE INVASION,51.382839,-2.360857,https://s-media-cache-ak0.pinimg.com/236x/c4/90/c2/c490c2fd219aa7490b1bea523a894294.jpg,https://s-media-cache-ak0.pinimg.com/originals/c4/90/c2/c490c2fd219aa7490b1bea523a894294.jpg,"(51.382839, -2.360857)","Burton St Bath BA1 1BN, UK",35,11,7,1,20
https://uk.pinterest.com/pin/287456388692391670,"THE GRITTERS ARE OUT Sydney Pl Bath BA2 6NF, UK 51.385567, -2.351800",THE GRITTERS ARE OUT,51.385567,-2.3518,https://s-media-cache-ak0.pinimg.com/236x/3f/ee/66/3fee66eb32ac6f348886f0ef15a2edd9.jpg,https://s-media-cache-ak0.pinimg.com/originals/3f/ee/66/3fee66eb32ac6f348886f0ef15a2edd9.jpg,"(51.385567, -2.3518)","Sydney Pl Bath BA2 6NF, UK",22,74,12,1,21
https://uk.pinterest.com/pin/287456388694045109,"THE MAN WHO FELL TO EARTH (WITH A FRIDAY FEELING) Orange Grove Bath BA1 1LP, UK 51.381688, -2.358326",THE MAN WHO FELL TO EARTH (WITH A FRIDAY FEELING),51.381688,-2.358326,https://s-media-cache-ak0.pinimg.com/236x/3c/7e/cb/3c7ecbd9d0736a94a9f8a3a91131619d.jpg,https://s-media-cache-ak0.pinimg.com/originals/3c/7e/cb/3c7ecbd9d0736a94a9f8a3a91131619d.jpg,"(51.381688, -2.358326)","Orange Grove Bath BA1 1LP, UK",35,12,7,1,20
https://uk.pinterest.com/pin/287456388694101718,"REWARD Abbey Green Bath BA1 1NR, UK 51.380530, -2.358848",REWARD,51.38053,-2.358848,https://s-media-cache-ak0.pinimg.com/236x/5b/67/a7/5b67a72c83547f9b7004df6c5ff69dab.jpg,https://s-media-cache-ak0.pinimg.com/originals/5b/67/a7/5b67a72c83547f9b7004df6c5ff69dab.jpg,"(51.38053, -2.358848)","Abbey Green Bath BA1 1NR, UK",35,12,7,1,20
https://uk.pinterest.com/pin/287456388692491763,"THE BLUES Stall St Bath BA1 1QH, UK 51.381391, -2.360376",THE BLUES,51.381391,-2.360376,https://s-media-cache-ak0.pinimg.com/236x/42/25/a9/4225a91ede44777103fb06e069518dc4.jpg,https://s-media-cache-ak0.pinimg.com/originals/42/25/a9/4225a91ede44777103fb06e069518dc4.jpg,"(51.381391, -2.360376)","Stall St Bath BA1 1QH, UK",35,11,7,1,20
https://uk.pinterest.com/pin/287456388691254544,"WE LOVE BATH 20000 Bennett St Bath BA1 2QJ, UK 51.386422, -2.363084",WE LOVE BATH,51.386422,-2.363084,https://s-media-cache-ak0.pinimg.com/236x/b3/e0/f6/b3e0f642dd5b7c24dc249630018afe03.jpg,https://s-media-cache-ak0.pinimg.com/originals/b3/e0/f6/b3e0f642dd5b7c24dc249630018afe03.jpg,"(51.386422, -2.363084)","20000 Bennett St Bath BA1 2QJ, UK",35,25,7,1,22
https://uk.pinterest.com/pin/287456388691180718,"SHE'S A DARK HORSE Union St Bath BA1, UK 51.381651, -2.360416",SHE'S A DARK HORSE,51.381651,-2.360416,https://s-media-cache-ak0.pinimg.com/236x/7b/d4/59/7bd459b58a02c2893cc677d4e1b5e926.jpg,https://s-media-cache-ak0.pinimg.com/originals/7b/d4/59/7bd459b58a02c2893cc677d4e1b5e926.jpg,"(51.381651, -2.360416)","Union St Bath BA1, UK",35,10,7,1,20
https://uk.pinterest.com/pin/287456388690396054,"STOMP George St, Bath BA1 2ED, UK 51.385130, -2.360946",STOMP,51.38513,-2.360946,https://s-media-cache-ak0.pinimg.com/236x/72/a8/1b/72a81b33d7a3e79aec214e38f2ae15a7.jpg,https://s-media-cache-ak0.pinimg.com/originals/72/a8/1b/72a81b33d7a3e79aec214e38f2ae15a7.jpg,"(51.38513, -2.360946)","George St, Bath BA1 2ED, UK",35,11,7,1,20
https://uk.pinterest.com/pin/287456388691196389,"VAMPIRE Lansdown Crescent Bath BA1 5EX, UK 51.392627, -2.366397",VAMPIRE,51.392627,-2.366397,https://s-media-cache-ak0.pinimg.com/236x/d3/db/08/d3db08d59c94aa4219a4a4ca73b94c4b.jpg,https://s-media-cache-ak0.pinimg.com/originals/d3/db/08/d3db08d59c94aa4219a4a4ca73b94c4b.jpg,"(51.392627, -2.366397)","Lansdown Crescent Bath BA1 5EX, UK",21,240,7,1,1
https://uk.pinterest.com/pin/287456388693772628,"HOVER BOOTS Bath St Bath BA1 1SA, UK 51.380864, -2.360244",HOVER BOOTS,51.380864,-2.360244,https://s-media-cache-ak0.pinimg.com/236x/68/31/2e/68312eae26b4d151a356a1a0e7833056.jpg,https://s-media-cache-ak0.pinimg.com/originals/68/31/2e/68312eae26b4d151a356a1a0e7833056.jpg,"(51.380864, -2.360244)","Bath St Bath BA1 1SA, UK",35,12,7,1,20
