postcode,data status,lines < 2mbps,average speed,median speed,maximum speed,super fast available,connections
BA23EA,OK,N,>=30,>=30,>=30,Y,4
BA19BW,No Data,N/A,N/A,N/A,N/A,N,0
BA25HA,OK,N,10.6,9.1,15.4,N,7
BA11XH,No premises,N/A,N/A,N/A,N/A,N,0
BS397QQ,OK,N,3.4,3.5,4.2,Y,5
BA20FB,OK,N,8.8,7.1,18.7,N,4
BA33ZL,No premises,N/A,N/A,N/A,N/A,N,0
BA32SR,Insufficient Premises,N/A,N/A,N/A,N/A,Y,<3
BA26TF,OK,Y,2.7,2.5,4.4,Y,4
BA23DY,No premises,N/A,N/A,N/A,N/A,Y,0
BA13RH,OK,Y,12.4,3.5,>=30,Y,13
BS311SR,OK,N,>=30,>=30,>=30,Y,16
BS396TH,Insufficient Data,N/A,N/A,N/A,N/A,N,2
BS395TY,OK,Y,2.8,3.2,4.3,N,7
BA20FZ,Insufficient Premises,N/A,N/A,N/A,N/A,N,<3
BA34AQ,OK,Y,25,10,>=30,Y,11
BA32SF,OK,N,18.9,14.6,>=30,Y,12
BA24PS,OK,N,11.5,12,18.2,Y,12
BA18BR,OK,N,5.8,6.3,6.4,N,3
BS313AY,OK,N,7.8,7.2,21.4,N,14
BA15EQ,No Data,N/A,N/A,N/A,N/A,Y,0
BA23LH,OK,N,>=30,>=30,>=30,Y,3
BA29JD,No Data,N/A,N/A,N/A,N/A,Y,0
BS313HH,OK,N,29.4,20,>=30,N,4
BS311ST,OK,Y,6.1,6.2,12,Y,24
BA17DY,Insufficient Data,N/A,N/A,N/A,N/A,N,1
BA24DY,OK,N,19.1,10.8,>=30,Y,14
BS312JR,Insufficient Data,N/A,N/A,N/A,N/A,Y,2
BS406AR,OK,N,7,7.6,8.1,N,7
BA16PZ,OK,N,8.4,9.4,9.6,Y,3
BS406HU,OK,N,7,8.1,8.1,N,5
BA11SS,OK,N,18.8,19.5,22.2,N,6
BS395SE,OK,Y,5.6,8.1,8.1,N,3
BA14BU,OK,N,11,5.9,>=30,Y,12
BA22JU,OK,N,28.3,20,>=30,Y,14
BA29EG,OK,Y,1.5,1,3.3,N,4
BA25LJ,OK,N,15.3,17.8,21.9,N,29
BS395AU,No Data,N/A,N/A,N/A,N/A,N,0
BA32QP,OK,N,19.7,17,>=30,Y,7
BA29BB,Insufficient Premises,N/A,N/A,N/A,N/A,N,<3
BA24AF,OK,N,6.1,6,9.1,N,4
BA18BP,Insufficient Premises,N/A,N/A,N/A,N/A,N,<3
BA22HH,OK,N,>=30,>=30,>=30,Y,6
BA26UB,OK,Y,11.7,2.2,>=30,Y,20
BA10SQ,Insufficient Premises,N/A,N/A,N/A,N/A,N,<3
BS408RX,No Data,N/A,N/A,N/A,N/A,N,0
BS311JJ,OK,Y,19.8,6.8,>=30,Y,10
BA15PE,OK,N,10.4,9.8,16.1,Y,17
BA32AA,OK,N,10.6,9.6,15.5,Y,4
BA14DE,Insufficient Data,N/A,N/A,N/A,N/A,Y,1
BS396HS,OK,N,3.6,3.1,5.3,N,3
BA10JE,No premises,N/A,N/A,N/A,N/A,N,0
BA12QB,OK,N,23.9,22,>=30,Y,9
BA32UF,No Data,N/A,N/A,N/A,N/A,N,0
BA21LT,OK,Y,25,20,>=30,Y,52
BA28AT,Insufficient Data,N/A,N/A,N/A,N/A,Y,2
BA28PJ,Insufficient Data,N/A,N/A,N/A,N/A,Y,2
BA16PE,OK,N,21.8,9.1,>=30,Y,10
BA11NY,No premises,N/A,N/A,N/A,N/A,N,0
BA15RF,No Data,N/A,N/A,N/A,N/A,N,0
BA27EL,OK,N,7.3,7.8,7.9,N,4
BA21LY,OK,N,>=30,>=30,>=30,Y,12
BS408YQ,Insufficient Premises,N/A,N/A,N/A,N/A,N,<3
BA32UU,OK,Y,15,13.5,>=30,Y,22
BS311TR,Insufficient Data,N/A,N/A,N/A,N/A,N,1
BS394HL,Insufficient Data,N/A,N/A,N/A,N/A,N,2
BA27ST,OK,N,6.3,7,8.2,N,4
BA28JL,OK,Y,20.3,6.9,>=30,Y,23
BA33HR,OK,N,13.4,11.2,22.3,N,7
BA23ES,No Data,N/A,N/A,N/A,N/A,N,0
BA11ZN,No premises,N/A,N/A,N/A,N/A,N,0
BA17UE,OK,N,7.7,8,12,N,25
BS408TD,No Data,N/A,N/A,N/A,N/A,N,0
BS396EE,OK,Y,4.6,4.9,8.1,N,16
BA27DS,No Data,N/A,N/A,N/A,N/A,N,0
BA33BD,OK,N,24.9,12.7,>=30,Y,9
BA20PU,OK,Y,3.5,4.4,4.5,N,4
BA33TQ,OK,Y,19.8,12.6,>=30,Y,13
BA16LN,OK,N,19.3,9.8,>=30,Y,14
BA14DS,No Data,N/A,N/A,N/A,N/A,Y,0
BA22QU,OK,Y,15.7,7.7,>=30,Y,14
BA22NG,OK,Y,23.1,20,>=30,Y,48
BS408ST,No Data,N/A,N/A,N/A,N/A,N,0
BA14HY,OK,Y,24.8,4,>=30,Y,8
BA10TJ,Insufficient Premises,N/A,N/A,N/A,N/A,N,<3
BA10DU,No premises,N/A,N/A,N/A,N/A,N,0
BA33EU,OK,Y,10.1,7.8,>=30,Y,30
BA26EU,Insufficient Premises,N/A,N/A,N/A,N/A,Y,<3
BS312SD,No Data,N/A,N/A,N/A,N/A,N,0
BA25PD,OK,N,16.2,17.1,21.2,N,10
BA21AP,OK,N,>=30,20,>=30,Y,23
BA32HA,OK,N,19.7,20.7,23.6,N,19
BA12JZ,Insufficient Data,N/A,N/A,N/A,N/A,N,2
BA13HE,OK,Y,21,8.8,>=30,Y,24
BA21LF,OK,Y,11.7,4,>=30,Y,8
BS396TJ,Insufficient Premises,N/A,N/A,N/A,N/A,N,<3
BA26HT,No Data,N/A,N/A,N/A,N/A,Y,0
BS396LA,OK,Y,2.5,2.4,4.4,N,11
BA10TW,No Data,N/A,N/A,N/A,N/A,N,0
BA14AX,OK,Y,15.4,4.4,>=30,Y,13
BA26XJ,OK,Y,3,3,4.4,N,9
BS397QR,OK,N,22.7,23,>=30,Y,4
BS313AD,OK,N,26.8,20,>=30,N,22
BA10BT,No premises,N/A,N/A,N/A,N/A,N,0
BA26AH,OK,Y,15.9,9.9,>=30,Y,32
BA20PB,OK,N,7.7,7.5,9.6,N,4
BA29HF,No Data,N/A,N/A,N/A,N/A,N,0
BA12EW,OK,N,22.4,19.7,>=30,Y,19
BS312UD,OK,N,27.1,21.4,>=30,Y,23
BA32EG,Insufficient Data,N/A,N/A,N/A,N/A,Y,2
BA17ES,OK,N,15.2,17,21.8,N,33
BA10JP,No premises,N/A,N/A,N/A,N/A,N,0
BA11DB,No premises,N/A,N/A,N/A,N/A,N,0
BA15AF,No premises,N/A,N/A,N/A,N/A,N,0
BA15LH,No Data,N/A,N/A,N/A,N/A,N,0
BS395UD,Insufficient Data,N/A,N/A,N/A,N/A,N,2
BA12AU,OK,N,24.5,23.1,>=30,Y,3
BS397XD,OK,N,16.6,4,>=30,Y,6
BS313AP,OK,N,17.8,20,>=30,N,20
BA11WG,No premises,N/A,N/A,N/A,N/A,N,0
BA15JT,OK,N,13.2,10.1,>=30,Y,6
BS312RT,OK,N,25.3,20,>=30,Y,9
BS406JU,No Data,N/A,N/A,N/A,N/A,N,0
BA16BJ,OK,Y,11.2,6.7,>=30,Y,25
BA13RN,OK,N,18.8,5.5,>=30,Y,5
BA16BT,Insufficient Data,N/A,N/A,N/A,N/A,Y,1
BA27TZ,OK,N,6,5.8,10.6,N,9
BA17WW,No premises,N/A,N/A,N/A,N/A,N,0
BA19AJ,No Data,N/A,N/A,N/A,N/A,Y,0
BA17SX,No Data,N/A,N/A,N/A,N/A,N,0
BA24NH,OK,N,23.3,10.9,>=30,Y,14
BA12RL,OK,N,23.5,19.9,>=30,Y,12
BA15NJ,OK,N,27.1,14.5,>=30,Y,5
BS397SB,No premises,N/A,N/A,N/A,N/A,Y,0
BA26AU,Insufficient Premises,N/A,N/A,N/A,N/A,Y,<3
BS311HG,Insufficient Data,N/A,N/A,N/A,N/A,Y,2
BA26DZ,OK,Y,10.6,3.7,>=30,Y,5
BA28TY,OK,Y,29.3,>=30,>=30,Y,66
BS312NU,OK,N,24.3,20,>=30,Y,13
BA17NQ,No Data,N/A,N/A,N/A,N/A,N,0
BA15NA,OK,N,23.1,16.9,>=30,Y,34
BA14AT,OK,N,>=30,8.7,>=30,Y,4
BS394HX,OK,N,6.4,7.6,7.7,N,4
BA16TF,OK,Y,14.2,4.9,>=30,Y,15
BA25RE,Insufficient Premises,N/A,N/A,N/A,N/A,N,<3
BA16HH,OK,Y,11.7,5.7,>=30,Y,27
BA32RY,OK,Y,17.1,14.3,>=30,Y,42
BS312SN,No Data,N/A,N/A,N/A,N/A,N,0
BA23QE,OK,N,27.7,14.7,>=30,Y,10
BA25DR,OK,N,16.2,15.8,20,N,3
BA28DH,OK,N,26.5,5.4,>=30,Y,10
BA15AB,No premises,N/A,N/A,N/A,N/A,N,0
BA24ND,No Data,N/A,N/A,N/A,N/A,Y,0
BA21RW,OK,N,22.5,20,>=30,Y,9
BA16AA,OK,N,19.3,9.8,>=30,Y,3
BA22SF,Insufficient Premises,N/A,N/A,N/A,N/A,N,<3
BA27AR,OK,N,9.2,3.9,21.4,Y,3
BS406BH,OK,N,5.9,5.8,8.1,N,13
BA33DB,Insufficient Premises,N/A,N/A,N/A,N/A,Y,<3
BA13QB,OK,Y,19.3,7.1,>=30,Y,15
BA16LP,OK,Y,11.6,8,>=30,Y,22
BA23HN,OK,N,>=30,>=30,>=30,Y,5
BA32XB,No Data,N/A,N/A,N/A,N/A,Y,0
BA28AE,OK,N,14.6,4.3,>=30,Y,3
BA34AU,OK,N,18.6,13.6,>=30,Y,14
BS396UT,OK,Y,4.1,3.7,7.4,N,17
BA16AJ,OK,N,15.5,11.9,>=30,Y,6
BA18BQ,No Data,N/A,N/A,N/A,N/A,Y,0
BA26DT,No Data,N/A,N/A,N/A,N/A,Y,0
BA26EE,OK,N,29.5,>=30,>=30,Y,4
BS397SR,OK,N,5.7,5.2,8.2,Y,3
BA25QL,OK,N,18.2,19,22,N,7
BS140TR,OK,N,23.1,21.5,>=30,Y,4
BA32PW,OK,N,25,15.3,>=30,Y,8
BA15RA,OK,Y,21.3,13.5,>=30,Y,23
BA14EX,OK,Y,19.2,4.2,>=30,Y,20
BA18BG,OK,N,3.4,3.5,3.7,Y,4
BA22HW,OK,N,17.2,20,>=30,Y,9
BA23HY,OK,Y,15.5,9.4,>=30,Y,10
BA24EL,OK,N,22.8,8.1,>=30,Y,4
BS406NB,OK,Y,4.7,3.4,8,N,7
BA15NF,OK,Y,18.5,13.1,>=30,Y,50
BA11JT,Insufficient Data,N/A,N/A,N/A,N/A,N,2
BA21SQ,OK,Y,19.4,3.3,>=30,Y,32
BA26XQ,Insufficient Premises,N/A,N/A,N/A,N/A,N,<3
BA33XA,OK,N,5.6,4,13.1,Y,5
BA28AF,OK,Y,24.5,20,>=30,Y,9
BA14NE,OK,Y,11.4,3.8,>=30,Y,19
BA15RR,OK,N,24.1,>=30,>=30,Y,6
BA32DW,OK,N,17.5,18.9,21.8,Y,6
BS311DQ,OK,N,18.6,21.2,24.4,Y,5
BS311LN,OK,N,24.8,19.9,>=30,Y,20
BA28TD,OK,Y,27.8,2.5,>=30,Y,9
BS312UP,No Data,N/A,N/A,N/A,N/A,Y,0
BA20QB,OK,Y,4.3,4.3,6.3,N,4
BS408QH,Insufficient Premises,N/A,N/A,N/A,N/A,N,<3
BA14NB,OK,Y,12.3,2.8,>=30,Y,6
BS394NW,OK,N,4.2,4,6.6,N,15
BS311DH,No premises,N/A,N/A,N/A,N/A,N,0
BA18AD,OK,Y,2.8,2.6,4.3,N,6
BA25RT,OK,Y,15.2,17,23.4,N,14
BS311HH,OK,N,>=30,>=30,>=30,Y,11
BA12ST,OK,N,13.2,10.5,>=30,Y,10
BS408WT,No premises,N/A,N/A,N/A,N/A,N,0
BA18EP,Insufficient Data,N/A,N/A,N/A,N/A,N,1
BA16NS,OK,Y,13,4.4,>=30,Y,12
BA33SN,OK,N,18,16.5,>=30,Y,5
BA14DG,No Data,N/A,N/A,N/A,N/A,Y,0
BA26QH,OK,N,17.1,13.1,>=30,Y,10
BA17NN,OK,N,18.6,20.3,23,N,7
BA32NJ,OK,N,9.8,9.4,11.4,Y,3
BA32BA,OK,N,23.5,21,>=30,Y,7
BA23DX,No Data,N/A,N/A,N/A,N/A,Y,0
BA27TQ,Insufficient Data,N/A,N/A,N/A,N/A,N,2
BS311JQ,OK,N,16.7,7.1,>=30,Y,13
BA33DU,OK,N,17,14.4,>=30,Y,6
BA16FE,Insufficient Data,N/A,N/A,N/A,N/A,Y,2
BS397XP,OK,Y,2.3,1.8,4.3,Y,3
BS408SE,OK,N,20.5,21.7,24.3,N,4
BS395PW,OK,Y,5.4,5.3,8.6,N,18
BA27DW,OK,N,9.4,8.1,15.7,N,14
BS408UW,OK,N,6.4,6,15.4,N,23
BA15QT,OK,N,19.4,7.1,>=30,Y,10
BA28JN,OK,Y,20.9,3.9,>=30,Y,52
BA13JL,Insufficient Data,N/A,N/A,N/A,N/A,Y,2
BA34WY,No premises,N/A,N/A,N/A,N/A,N,0
BA15SU,OK,N,>=30,>=30,>=30,Y,11
BA27PD,No Data,N/A,N/A,N/A,N/A,N,0
BA12QJ,No Data,N/A,N/A,N/A,N/A,Y,0
BA22TJ,Insufficient Data,N/A,N/A,N/A,N/A,Y,1
BA22BH,OK,N,25.2,15.5,>=30,Y,33
BA29DD,Insufficient Premises,N/A,N/A,N/A,N/A,N,<3
BS406BU,OK,N,6.1,6,6.5,N,5
BA17TT,OK,Y,6.1,6.3,13.7,N,29
BA16SP,OK,N,18.2,5.3,>=30,Y,5
BA34AB,OK,N,14.6,14.3,>=30,Y,18
BA26NB,OK,N,14.7,9.8,>=30,Y,23
BA18HA,OK,Y,5.1,4.5,7.1,N,7
BA11SX,Insufficient Premises,N/A,N/A,N/A,N/A,N,<3
BA21QR,Insufficient Premises,N/A,N/A,N/A,N/A,Y,<3
BS408QP,OK,Y,3.3,2.3,6.6,N,3
BA25HG,OK,Y,8.2,8,15.5,N,8
BA23PS,OK,N,>=30,25,>=30,Y,6
BA23RW,OK,N,23.4,20,>=30,Y,32
BS394EX,OK,Y,3.3,3.4,5.3,N,25
BS395AS,No Data,N/A,N/A,N/A,N/A,N,0
BA33QG,OK,N,9.4,9.4,11,Y,3
BS394DY,Insufficient Premises,N/A,N/A,N/A,N/A,N,<3
BA12SR,Insufficient Premises,N/A,N/A,N/A,N/A,N,<3
BA11NR,Insufficient Premises,N/A,N/A,N/A,N/A,N,<3
BA23HX,OK,N,27.8,20,>=30,Y,23
BA13DG,OK,N,24.7,10.2,>=30,Y,9
BS394NX,Insufficient Premises,N/A,N/A,N/A,N/A,N,<3
BA18EX,Insufficient Premises,N/A,N/A,N/A,N/A,N,<3
BA26LH,No Data,N/A,N/A,N/A,N/A,Y,0
BA20ND,No Data,N/A,N/A,N/A,N/A,N,0
BA26NN,OK,N,>=30,>=30,>=30,Y,8
BS394HP,OK,N,6.2,6.3,8.1,N,4
BA15BR,Insufficient Data,N/A,N/A,N/A,N/A,Y,1
BS395UY,OK,Y,2,1.7,3.5,N,4
BA26TG,Insufficient Premises,N/A,N/A,N/A,N/A,Y,<3
BS396YL,OK,Y,2.9,3.3,4.8,N,16
BA12LX,OK,N,21.6,14.3,>=30,Y,36
BA11US,OK,Y,16.2,19.8,23.3,N,11
BA23DR,OK,N,7.8,3.9,18.3,Y,5
BA23HL,OK,Y,21.1,20,>=30,Y,28
BA11NW,OK,N,15.4,15.9,20.2,Y,4
BA20LE,OK,N,15.2,21,22.4,N,9
BA16NR,OK,Y,13.8,5.5,>=30,Y,20
BS397AN,OK,Y,3.3,3.6,4.1,N,11
BS406JT,OK,N,6,6.2,7.6,N,8
BA13QQ,OK,Y,8.8,4,>=30,Y,11
BA12TH,OK,N,17.6,16.9,21.9,Y,4
BS312JP,OK,N,22.7,20,>=30,Y,10
BS394BU,OK,N,5.5,5.1,6.8,N,3
BA33UA,OK,N,28.2,16.2,>=30,Y,11
BA12BB,Insufficient Premises,N/A,N/A,N/A,N/A,Y,<3
BA35TT,No premises,N/A,N/A,N/A,N/A,N,0
BA26HA,OK,N,12.1,6.7,>=30,Y,4
BA25RY,OK,Y,10.9,14.3,19.8,N,6
BA20AE,OK,N,9.1,8.7,12.4,N,15
BA12RT,Insufficient Data,N/A,N/A,N/A,N/A,Y,2
BS140QX,Insufficient Premises,N/A,N/A,N/A,N/A,N,<3
BA20PY,No Data,N/A,N/A,N/A,N/A,N,0
BA26AP,OK,N,5.7,5.8,9.2,Y,8
BA33NZ,OK,N,18.2,18.1,19,Y,4
BA21NA,OK,Y,19.7,7.4,>=30,Y,15
BA15TE,OK,N,13.4,9.6,>=30,Y,9
BA22UW,OK,N,7.2,7.1,12.2,N,17
BA25AG,Insufficient Premises,N/A,N/A,N/A,N/A,N,<3
BS408PU,OK,N,19.2,19.3,22.2,N,3
BS397QE,OK,N,4.5,4.6,6.8,Y,8
BA26PL,OK,N,10.6,14,15.6,N,12
BA33PL,OK,N,18.6,20.1,24,N,9
BS408XX,OK,N,6.3,5.7,9.6,N,7
BA29AX,OK,Y,1.3,1.4,2,N,3
BS408WR,No premises,N/A,N/A,N/A,N/A,N,0
BA13AJ,OK,N,21.8,17.3,>=30,Y,7
BA23NY,OK,N,27.4,20,>=30,Y,23
BA22DL,OK,N,27.5,20,>=30,Y,38
BA16XR,No premises,N/A,N/A,N/A,N/A,N,0
BA11BR,No premises,N/A,N/A,N/A,N/A,N,0
BS311RG,OK,N,16.1,9.7,>=30,Y,12
BA16UB,OK,N,10.4,10.5,14.3,N,9
BS408ST,Insufficient Premises,N/A,N/A,N/A,N/A,N,<3
BS312ED,OK,Y,2.6,2.4,5.5,N,15
BA12NB,OK,N,21.7,20.1,>=30,Y,24
BS312TY,OK,N,21.6,20,>=30,Y,18
BS395XT,Insufficient Data,N/A,N/A,N/A,N/A,N,1
BA28AJ,No Data,N/A,N/A,N/A,N/A,Y,0
BA33EB,OK,N,20,14.9,>=30,Y,4
BA28EJ,OK,Y,26,20,>=30,Y,22
BA26YY,No premises,N/A,N/A,N/A,N/A,N,0
BA11HB,OK,N,13.5,13.5,20.3,Y,6
BA28JH,Insufficient Premises,N/A,N/A,N/A,N/A,Y,<3
BA20HH,OK,Y,5.1,4,11.5,N,6
BA15JG,No Data,N/A,N/A,N/A,N/A,N,0
BA24JY,OK,N,13.7,11.5,>=30,Y,14
BS312HT,OK,N,>=30,>=30,>=30,Y,11
BA15QH,OK,N,>=30,>=30,>=30,Y,3
BA11RN,No Data,N/A,N/A,N/A,N/A,Y,0
BA14AJ,OK,N,12.6,7.4,>=30,Y,23
BS394WR,No premises,N/A,N/A,N/A,N/A,N,0
BA23NB,No Data,N/A,N/A,N/A,N/A,Y,0
BA24JG,Insufficient Premises,N/A,N/A,N/A,N/A,Y,<3
BA32SD,OK,Y,12.4,9.3,>=30,Y,42
BA22PQ,OK,N,23.6,9.7,>=30,Y,25
BA11RT,No premises,N/A,N/A,N/A,N/A,N,0
BS394HU,OK,N,6.9,7.2,8.1,N,9
BA26XD,OK,Y,3.3,3.4,5,N,42
BA24LE,No Data,N/A,N/A,N/A,N/A,Y,0
BS313BB,OK,N,9.9,8,21.5,N,10
BS311LW,OK,Y,18.4,20,>=30,Y,15
BA26EJ,No premises,N/A,N/A,N/A,N/A,Y,0
BA25DA,OK,N,15.7,17.3,19.9,N,7
BA18ES,OK,N,12.2,12.6,17.9,N,13
BA33NQ,No Data,N/A,N/A,N/A,N/A,Y,0
BS406LX,Insufficient Premises,N/A,N/A,N/A,N/A,N,<3
BS396UB,OK,Y,4.4,4,7.9,N,37
BA10TN,Insufficient Premises,N/A,N/A,N/A,N/A,N,<3
BA13QD,OK,N,14.4,6,>=30,Y,9
BA34AP,No premises,N/A,N/A,N/A,N/A,N,0
BA33YU,OK,N,22,12.3,>=30,Y,37
BA32UY,Insufficient Premises,N/A,N/A,N/A,N/A,Y,<3
BA16QN,OK,N,18.3,7.3,>=30,Y,19
BA21BA,OK,N,29.3,20,>=30,Y,24
BS313EP,OK,N,10.6,7.5,20,N,11
BS313JL,OK,N,19.4,8.1,>=30,N,11
BA13EL,Insufficient Premises,N/A,N/A,N/A,N/A,Y,<3
BA10SX,Insufficient Premises,N/A,N/A,N/A,N/A,N,<3
BA28QF,No Data,N/A,N/A,N/A,N/A,N,0
BA21BP,OK,N,22,25,>=30,Y,16
BS395XS,OK,Y,2.5,2.6,3,N,4
BS394NT,OK,Y,1.6,1.7,3,N,26
BA25AB,OK,N,9.1,8.5,18.4,N,43
BA14NA,OK,Y,2.3,2.8,3.2,Y,3
BS408YR,No Data,N/A,N/A,N/A,N/A,N,0
BS394LG,No Data,N/A,N/A,N/A,N/A,N,0
BA14NG,OK,Y,9.4,2.4,>=30,Y,30
BA33HU,OK,Y,13.5,16.9,22.3,N,12
BS408RA,OK,N,19.7,20.9,24.4,N,11
BA26NY,OK,Y,22.5,11,>=30,Y,23
BA26PU,No Data,N/A,N/A,N/A,N/A,Y,0
BA27WF,OK,N,7.1,7.6,14.1,N,17
BA25AQ,Insufficient Premises,N/A,N/A,N/A,N/A,Y,<3
BA16HS,OK,N,5,5.1,5.9,Y,6
BA12ER,Insufficient Premises,N/A,N/A,N/A,N/A,Y,<3
BS311TF,No Data,N/A,N/A,N/A,N/A,Y,0
BS396HB,Insufficient Premises,N/A,N/A,N/A,N/A,N,<3
BS396JD,OK,Y,3.1,3.5,4.7,N,11
BA14ND,OK,N,21.6,21.9,>=30,Y,8
BS395TU,OK,N,4.3,3.6,6.2,N,5
BS396UJ,OK,Y,3.2,3.4,5.1,N,16
BS311PB,OK,N,22.6,20,>=30,Y,10
BA11EP,OK,Y,13.2,14.4,22,Y,9
BA11SJ,OK,N,12.7,11.4,20.1,Y,3
BA32EQ,OK,N,15.4,13.3,>=30,Y,11
BA22UT,OK,Y,7.9,7.1,14.8,N,40
BA28PW,OK,Y,20.1,>=30,>=30,Y,11
BA24EG,Insufficient Data,N/A,N/A,N/A,N/A,Y,1
BA28QW,No Data,N/A,N/A,N/A,N/A,N,0
BA32DQ,OK,N,18.7,20.1,23.1,Y,13
BA17LR,OK,N,9.3,9.5,17.7,N,9
BA24WS,No premises,N/A,N/A,N/A,N/A,N,0
BA15AN,No premises,N/A,N/A,N/A,N/A,Y,0
BA23FD,OK,Y,12.6,8.9,>=30,Y,6
BA34BS,OK,N,8.8,8.1,12.5,N,11
BA26EX,OK,N,8.3,5,21.8,Y,5
BS311EX,Insufficient Premises,N/A,N/A,N/A,N/A,N,<3
BA13ET,OK,N,18.1,7.4,>=30,Y,19
BA17NH,Insufficient Data,N/A,N/A,N/A,N/A,N,1
BS397QZ,OK,N,4.3,4.5,5.9,Y,7
BA33SB,OK,Y,11.9,13.3,16.9,Y,6
BA17JD,No premises,N/A,N/A,N/A,N/A,N,0
BS311AF,OK,N,20.2,20,>=30,Y,25
BA17TP,Insufficient Premises,N/A,N/A,N/A,N/A,N,<3
BS311SE,OK,N,>=30,25,>=30,Y,8
BA32XU,OK,N,7.4,7.6,8.1,N,3
BS395AZ,OK,N,8.5,7.9,12.2,N,7
BA26SQ,OK,Y,10.4,4.1,>=30,Y,7
BA15EZ,OK,N,20.5,12.6,>=30,Y,17
BA24BR,OK,N,16.9,6.7,>=30,Y,18
BA24ST,OK,Y,12.6,5.8,>=30,Y,9
BS396UR,OK,Y,4.5,4.1,8.1,N,27
BA12QJ,Insufficient Premises,N/A,N/A,N/A,N/A,Y,<3
BA23AR,OK,N,16.7,8.9,>=30,Y,37
BS395RF,OK,N,12.8,13.4,16.6,N,7
BA10QE,No premises,N/A,N/A,N/A,N/A,N,0
BA22QA,Insufficient Premises,N/A,N/A,N/A,N/A,Y,<3
BA22AW,OK,Y,10.2,9.2,20,Y,3
BA12QH,Insufficient Premises,N/A,N/A,N/A,N/A,Y,<3
BS140PL,OK,N,>=30,20,>=30,Y,26
BA24EX,Insufficient Premises,N/A,N/A,N/A,N/A,Y,<3
BA18DQ,Insufficient Data,N/A,N/A,N/A,N/A,Y,2
BA17EH,OK,N,15.6,16.5,20,N,6
BA13QH,OK,Y,25.7,>=30,>=30,Y,10
BA22HB,OK,Y,29,>=30,>=30,Y,28
BA24JP,OK,N,10.6,9.6,14.8,Y,4
BA34PU,OK,Y,18.9,16.2,>=30,Y,12
BA21AQ,OK,N,26.7,20,>=30,Y,36
BA27AL,OK,Y,3.7,3.7,5.7,N,8
BS395RW,OK,Y,6.3,6.2,11.3,N,5
BA25EH,OK,N,13.7,14.8,19.1,N,16
BA15DX,Insufficient Data,N/A,N/A,N/A,N/A,Y,2
BA24AS,OK,N,18.6,19.5,21.3,N,6
BS312RG,OK,Y,28.6,20,>=30,Y,10
BA27UF,OK,N,6.8,6.5,11.5,N,5
BA20HJ,OK,Y,2.5,2.8,3.6,N,6
BA33EA,OK,N,15.9,13.3,>=30,Y,10
BA20DN,OK,N,6.8,8.1,8.2,N,3
BA23LF,OK,N,>=30,>=30,>=30,Y,28
BA25QY,OK,Y,15.4,17.5,21.4,N,26
BA22EA,OK,N,23.2,20,>=30,Y,11
BA17JF,OK,N,>=30,19.8,>=30,N,5
BA17RR,OK,N,8.7,7.7,13,N,8
BS396HA,OK,N,3.2,3.3,4.1,N,10
BA28SQ,Insufficient Premises,N/A,N/A,N/A,N/A,N,<3
BA16EW,OK,N,21.1,6.7,>=30,Y,18
BA14HW,OK,Y,12.5,5,>=30,Y,3
BA12QS,OK,N,25.4,17.9,>=30,Y,8
BA13LE,OK,N,10.6,4.4,>=30,Y,20
BS394DB,OK,Y,1.6,1,3.5,N,6
BA28SY,OK,Y,17.7,2.7,>=30,Y,21
BS311JY,OK,Y,6.6,6,11.7,Y,6
BA33NX,OK,N,13.7,11.7,22.1,Y,9
BA26QN,OK,N,7.2,5.7,23.4,Y,18
BA26SZ,Insufficient Data,N/A,N/A,N/A,N/A,Y,2
BA13RT,OK,Y,12.4,3.8,>=30,Y,7
BA24LD,OK,Y,9.6,8.6,>=30,Y,23
BA26LX,OK,N,13.7,9.8,>=30,Y,17
BA28HN,OK,Y,>=30,25.2,>=30,Y,19
BA24SD,OK,N,27.2,20,>=30,Y,11
BS312LL,OK,N,16.5,14.6,>=30,Y,7
BS395TN,OK,N,2.8,2.6,3.6,N,4
BS408QS,No Data,N/A,N/A,N/A,N/A,N,0
BS311NP,Insufficient Premises,N/A,N/A,N/A,N/A,N,<3
BA34XB,OK,N,7.1,6.6,12.2,Y,16
BA22HS,OK,Y,10.7,3,>=30,Y,7
BA24BL,OK,N,16,17,22,N,8
BA28HG,Insufficient Premises,N/A,N/A,N/A,N/A,Y,<3
BS394LE,OK,Y,1.5,1.4,2.3,N,8
BA10TS,Insufficient Premises,N/A,N/A,N/A,N/A,N,<3
BA28HS,OK,Y,>=30,25,>=30,Y,15
BA25EN,No Data,N/A,N/A,N/A,N/A,N,0
BA15YQ,No premises,N/A,N/A,N/A,N/A,N,0
BA25DH,Insufficient Premises,N/A,N/A,N/A,N/A,N,<3
BA12DZ,No premises,N/A,N/A,N/A,N/A,N,0
BS395RT,OK,N,8.2,7.8,16.8,N,23
BA12AB,OK,N,19,19.7,20.5,Y,3
BS397LL,OK,Y,3.4,2.8,11.2,Y,13
BA22EE,OK,Y,>=30,>=30,>=30,Y,24
BA24HN,OK,N,8.4,8.2,13.2,Y,7
BA16BA,OK,Y,18.7,7.6,>=30,Y,84
BA27AU,Insufficient Premises,N/A,N/A,N/A,N/A,N,<3
BA20AL,OK,N,6.4,6.3,10.2,N,16
BS394AW,Insufficient Premises,N/A,N/A,N/A,N/A,N,<3
