id,uri,title,isbn,author
250102,https://www.librarything.com/work/250102,Life in Elizabethan England,187108346X,
666467,https://www.librarything.com/work/666467,Lord Perfect,0425208885,
952002,https://www.librarything.com/work/952002,Love is in the Heir,0446616109,
277809,https://www.librarything.com/work/277809,The love-child,0860681688,
9910475,https://www.librarything.com/work/9910475,The Magnificent Spilsbury and the Case of the Brides in the Bath,1848541074,
11980727,https://www.librarything.com/work/11980727,The Mangotsfield to Bath Branch (Locomotion Papers),0853614261,
153083,https://www.librarything.com/work/153083,Marian's Christmas Wish,0451163311,
214002,https://www.librarything.com/work/214002,The Marriage List,0451214994,
3129162,https://www.librarything.com/work/3129162,Me and Mr. Darcy,034550254X,
2019186,https://www.librarything.com/work/2019186,A medical tour through the whole island of Great Britain,057117339X,
16766332,https://www.librarything.com/work/16766332,Merits and Mercenaries,,
9624981,https://www.librarything.com/work/9624981,The Mischief of the Mistletoe,0525951873,
146134,https://www.librarything.com/work/146134,Mistletoe Mysteries,0445409207,
46444,https://www.librarything.com/work/46444,Moll Flanders,1853260738,
9551764,https://www.librarything.com/work/9551764,Most Eagerly Yours,0451228944,
8878594,https://www.librarything.com/work/8878594,My Dear Charlotte,1603810404,
237615,https://www.librarything.com/work/237615,The new Bath guide,0239000757,
10204567,https://www.librarything.com/work/10204567,Night Shift [short story],,
476108,https://www.librarything.com/work/476108,No Hint Of Scandal,0441583563,
14710,https://www.librarything.com/work/14710,Northanger Abbey,1593082649,
1688235,https://www.librarything.com/work/1688235,Old Friends and New Fancies: An Imaginary Sequel to the Novels of Jane Austen,140220888X,
12111,https://www.librarything.com/work/12111,Our Tempestuous Day: A History of Regency England,0688060862,
10204552,https://www.librarything.com/work/10204552,Pay Phone [short story],,
12649171,https://www.librarything.com/work/12649171,The Peculiar,0062195182,
79862,https://www.librarything.com/work/79862,The Perfect Rake,0425203956,
1500,https://www.librarything.com/work/1500,Persuasion,0141439688,
12366445,https://www.librarything.com/work/12366445,Persuasion (adapted â Reading & Training: Step 5),8853005521,
1069851,https://www.librarything.com/work/1069851,Pevsner Architectural Guides Bath,0300101775,
5905280,https://www.librarything.com/work/5905280,Portrait of Avon,0709183615,
2071371,https://www.librarything.com/work/2071371,Portraits of Bath,0901571784,
5740647,https://www.librarything.com/work/5740647,Prospect of Death,0312143966,
5472469,https://www.librarything.com/work/5472469,Rainstone Fall,1569475253,
2631752,https://www.librarything.com/work/2631752,A Rambling Fancy: In the Footsteps of Jane Austen (Cadogan Guide),1860113281,
13078879,https://www.librarything.com/work/13078879,The Real Jane Austen: A Life in Small Things,0061999091,
9950040,https://www.librarything.com/work/9950040,"Recollections of the late William Beckford of Fonthill, Wilts and Lansdown, Bath",1406535583,
11240343,https://www.librarything.com/work/11240343,Renegade Magic,1416994491,
13180721,https://www.librarything.com/work/13180721,The Ringing Grooves of Change: Brunel and the Coming of the Railway to Bath,0954613856,
31397,https://www.librarything.com/work/31397,A Rogue's Embrace,0821771795,
5582519,https://www.librarything.com/work/5582519,Roman and Medieval Bath : Historical Map & Guide,0319290220,
3141298,https://www.librarything.com/work/3141298,The Roman Baths & Museum: Guide Book,0950618020,
9097404,https://www.librarything.com/work/9097404,The Roman baths of Bath: Catalogue of antiquities discovered during excavations on the site of the Roman thermae at Bath : with illustrations and a plan of the Roman baths,,
15245984,https://www.librarything.com/work/15245984,Romantic Outlaws: The Extraordinary Lives of Mary Wollstonecraft and Her Daughter Mary Shelley,1400068428,
12367413,https://www.librarything.com/work/12367413,"The Rough Guide to Bath, Bristol & Somerset: Includes Salisbury and Stonehenge",1848366051,
12121856,https://www.librarything.com/work/12121856,Rules For Being A Mistress (Zebra Historical Romance),1420101293,
11034508,https://www.librarything.com/work/11034508,The Sack of Bath,1903155835,
3105787,https://www.librarything.com/work/3105787,The Secret Hangman,1569474885,
5639173,https://www.librarything.com/work/5639173,The Secret Hunter,1597058505,
4478435,https://www.librarything.com/work/4478435,Shatter,0385517912,
1109314,https://www.librarything.com/work/1109314,Simply Love,0440241979,
1467205,https://www.librarything.com/work/1467205,Simply Magic,0440241987,
3722930,https://www.librarything.com/work/3722930,Simply Perfect,0440241995,
5260576,https://www.librarything.com/work/5260576,Simply Scandalous (Zebra Debut),0821779737,
79393,https://www.librarything.com/work/79393,Simply Unforgettable,0440241138,
8450883,https://www.librarything.com/work/8450883,Skeleton Hill,1569475989,
24932,https://www.librarything.com/work/24932,Slightly Scandalous,0440241111,
5140742,https://www.librarything.com/work/5140742,Slim Chance: A Chris Honeysett Murder Mystery Set in Bath (Chris Honeysett Murder Mysteries),0786717424,
3232631,https://www.librarything.com/work/3232631,The Somerset & Dorset Railway,0330024787,
995486,https://www.librarything.com/work/995486,Somerset with Bath and Bristol (Pimlico County History Guides),0712698876,
6850813,https://www.librarything.com/work/6850813,Sonata Mulattica: Poems,0393070085,
10857241,https://www.librarything.com/work/10857241,"Souvenirs of Fonthill Abbey : an exhibition to commemorate the 150th anniversary of the death of William Beckford, Beckford's Tower, Lansdown, Bath, Easter - October 1994",1898954011,
10674518,https://www.librarything.com/work/10674518,"The spas of Britain: the official handbook of the British Spa Federation, for the use of the medical profession",,
205925,https://www.librarything.com/work/205925,The Summons,1569473609,
9373025,https://www.librarything.com/work/9373025,"Sunshine, Sixes and Cider: History of Somerset Cricket",0715388908,
4328777,https://www.librarything.com/work/4328777,Tales from the Pump Room,0575041935,
2347924,https://www.librarything.com/work/2347924,Tempestuous Petticoat,0449234894,
13686506,https://www.librarything.com/work/13686506,The Temporary Betrothal,0373829337,
11562310,https://www.librarything.com/work/11562310,The Thirteen Hallows,0765328526,
5031193,https://www.librarything.com/work/5031193,This Gaming Life: Travels in Three Cities,0472116355,
9065307,https://www.librarything.com/work/9065307,Tickling the English,014104666X,
379479,https://www.librarything.com/work/379479,The Trials of Radclyffe Hall,0297818252,
424611,https://www.librarything.com/work/424611,Turkey Tracks,0440222583,
9567247,https://www.librarything.com/work/9567247,Twice Tempted by a Rogue,034551887X,
12055234,https://www.librarything.com/work/12055234,The Unlikely Pilgrimage of Harold Fry,0812983459,
223992,https://www.librarything.com/work/223992,Upon a Dark Night,1569473935,
19908,https://www.librarything.com/work/19908,The Vault,1569472564,
11987498,https://www.librarything.com/work/11987498,"Views of Lansdown Tower, Bath : the favorite edifice of the late William Beckford",,
8557605,https://www.librarything.com/work/8557605,The Viscount's Kiss,037329557X,
11043520,https://www.librarything.com/work/11043520,Walking in Bath,0906230004,
658158,https://www.librarything.com/work/658158,Waters of the Gap: The Mythology of Aque Sulis,1853980129,
12585613,https://www.librarything.com/work/12585613,The Way to a Duke's Heart,0062025341,
600061,https://www.librarything.com/work/600061,The Wicked Wit of Jane Austen,1854796526,
14102368,https://www.librarything.com/work/14102368,WILDFIRE KISS,1476305900,
1576159,https://www.librarything.com/work/1576159,Women All on Fire: The Women of the English Civil War,0750925523,
14330953,https://www.librarything.com/work/14330953,Women at the Ready,1408704102,
537854,https://www.librarything.com/work/537854,Yuletide Match,0451177401,
