Title,ContactType,MonthNumber,Count
Domestic Pest Control - First Appointment,Telephone,6,150
Highways Drainage and Flooding,Email,6,38
Highways Drainage and Flooding,Internet,6,2
Highways Drainage and Flooding,Personal Visit,6,2
Highways Drainage and Flooding,Telephone,6,56
Highways Drainage and Flooding,Twitter,6,4
Highways Engineering Design Group,Personal Visit,6,1
Highways Engineering Design Group,Telephone,6,1
Highways Gritting,Email,6,4
Highways Gritting,Fax,6,1
Highways Gritting,Internet,6,1
Highways Gritting,Telephone,6,1
Highways Hazard or Obstruction,Email,6,5
Highways Hazard or Obstruction,Personal Visit,6,1
Highways Hazard or Obstruction,Telephone,6,33
Highways Licences,Email,6,1
Highways Licences,Internet,6,3
Highways Licences,Telephone,6,7
Highways Maintenance of Roads and Pavements,Email,6,62
Highways Maintenance of Roads and Pavements,Internet,6,4
Highways Maintenance of Roads and Pavements,Personal Visit,6,28
Highways Maintenance of Roads and Pavements,Telephone,6,130
Highways Maintenance of Roads and Pavements,Twitter,6,3
Highways Potholes,Email,6,48
Highways Potholes,Internet,6,1
Highways Potholes,Personal Visit,6,4
Highways Potholes,Telephone,6,59
Highways Potholes,Twitter,6,1
Highways Roadworks and Schemes,Email,6,10
Highways Roadworks and Schemes,Personal Visit,6,4
Highways Roadworks and Schemes,Telephone,6,22
Highways Street Lighting,Email,6,22
Highways Street Lighting,Internet,6,3
Highways Street Lighting,Personal Visit,6,1
Highways Street Lighting,Telephone,6,43
Highways Traffic Signals,Email,6,5
Highways Traffic Signals,Internet,6,2
Highways Traffic Signals,Letter,6,1
Highways Traffic Signals,Telephone,6,10
Highways Vegetation,Email,6,112
Highways Vegetation,Internet,6,1
Highways Vegetation,Personal Visit,6,22
Highways Vegetation,Telephone,6,148
Highways Vegetation,Twitter,6,3
Library Services,Email,6,16
Library Services,Telephone,6,37
Neighbourhoods Cleansing,Email,6,154
Neighbourhoods Cleansing,Internet,6,1
Neighbourhoods Cleansing,Personal Visit,6,20
Neighbourhoods Cleansing,Telephone,6,413
Neighbourhoods Cleansing,Twitter,6,13
Neighbourhoods Cleansing Enforcement,Email,6,61
Neighbourhoods Cleansing Enforcement,Fax,6,1
Neighbourhoods Cleansing Enforcement,Internet,6,5
Neighbourhoods Cleansing Enforcement,Personal Visit,6,12
Neighbourhoods Cleansing Enforcement,Telephone,6,96
Neighbourhoods Cleansing Enforcement,Twitter,6,4
Neighbourhoods Parks and Grounds,Email,6,52
Neighbourhoods Parks and Grounds,Internet,6,1
Neighbourhoods Parks and Grounds,Personal Visit,6,14
Neighbourhoods Parks and Grounds,Telephone,6,121
Neighbourhoods Parks and Grounds,Twitter,6,5
Public Transport,Email,6,7
Public Transport,Internet,6,3
Public Transport,Personal Visit,6,7
Public Transport,Telephone,6,18
Public Transport,Twitter,6,1
Traffic and Safety,Email,6,33
Traffic and Safety,Personal Visit,6,11
Traffic and Safety,Telephone,6,46
Traffic and Safety,Twitter,6,3
Waste Services Clinical Waste,Email,6,19
Waste Services Clinical Waste,Personal Visit,6,6
Waste Services Clinical Waste,Telephone,6,204
Waste Services Container Request,Email,6,341
Waste Services Container Request,Internet,6,4
Waste Services Container Request,Personal Visit,6,101
Waste Services Container Request,Telephone,6,680
Waste Services Container Request,Twitter,6,1
Waste Services Garden Waste Start Up,Email,6,17
Waste Services Garden Waste Start Up,Personal Visit,6,206
Waste Services Garden Waste Start Up,Telephone,6,819
Waste Services General Enquiry,Email,6,56
Waste Services General Enquiry,Personal Visit,6,39
Waste Services General Enquiry,Telephone,6,352
