Place ID,Place Name,Address,Google Rating,Location,Ward,Lower Layer Super Output Areas (LSOA),Output Areas (OA),Middle Layer Super Output Areas (MSOA),Boundary
ChIJoSwPiguBcUgROTcfigeALDA,Bath Narrowboats,"Sydney Wharf, Bathwick Hill, Bath, United Kingdom",,"(51.382888, -2.349135)",22,30,75,12,1
ChIJk5vYMneOcUgRdPokad7W2yQ,Cycle Republic,"4, 4 Union Gate, Bristol BS1 2DL, United Kingdom",5,"(51.457443, -2.591803)",,,,,
ChIJJyBVQdYnckgRXbrZ31qdwuI,MScycles,"Somer House, High St, Midsomer Norton, Radstock BA3 2HN, United Kingdom",4.7,"(51.2856665, -2.4834782)",11,11,291,25,1
ChIJu8NeNtaNcUgRqmidsT7YyWE,Cycle Therapist,"Broad Quay House, Broad Quay, Bristol, Avon BS1 4DJ, United Kingdom",,"(51.451837, -2.596754)",,,,,
ChIJG_p2rBaBcUgRktKlSk7Z6tk,Halfords - Bath,"Westgate Buildings, Bath BA1 1EB, United Kingdom",3.8,"(51.3808526, -2.3625039)",35,20,14,7,1
ChIJKY7YLhOBcUgRoiR6bR0A58U,Johns Bikes,"82-84 Walcot St, Bath BA1 5BD, UK",4.4,"(51.3859707, -2.3595004)",35,20,11,7,1
ChIJi2Bq-p6PcUgREc-sibgh1_E,John Wood's Cycle Repair Centre.,"62 High St, Bristol, Avon BS15 3DR, United Kingdom",4.9,"(51.4490477, -2.5172477)",,,,,
ChIJe6R4gfiFcUgRpgwxb__OhOg,GO BIKING,"Bath Hill, Keynsham, Bristol BS31 1HW, United Kingdom",,"(51.412079, -2.4932152)",16,45,156,3,1
ChIJSxgYrxaBcUgRYJ9GqH8ITtw,Sports Direct,"5 Westgate Buildings, Bath BA1 1EB, United Kingdom",4,"(51.3806821, -2.3624542)",35,20,14,7,1
ChIJoxubDPqOcUgRXiiNEqoWWUI,GO Outdoors,"Tramway Rd, Bristol BS4 3DS, United Kingdom",3.9,"(51.4400585, -2.5569958)",,,,,
ChIJ0TT8J8l_cUgRpmfY9AcAoh8,tt cycles,"Frome Rd, Bradford-on-Avon BA15 1LE, United Kingdom",4.9,"(51.341828, -2.251609)",,,,,
