Ref,Description,LocationDescription,Status,Start,End,OrganisationName,TrafficType,Easting,Northing,Latitude,Longitude,Location,Ward,Lower Layer Super Output Areas (LSOA),Output Areas (OA),Middle Layer Super Output Areas (MSOA),Boundary
30015254,Sewer Repair - 19:00 Work Start. Night Works.,10m south east of 44,Completed,17/08/2016 12:00:00 AM,19/08/2016 12:00:00 AM,WESSEX WATER (Northern Waste R&M),Multi-Way Signals,365016,168912,51.418135322549503,-2.504474657151555,"(51.4181353225495, -2.5044746571515546)",24,49,171,1,1
30014273,REPLACE 51M OF 2IN ST WITH 51M OF 63MM PE AND REPLACE OR TRANSFER APPROX 8 SERVICES.,O/S NO.38 BRADFORD PARK TO O/S NO.28 BRADFORD PARK.,Completed,30/08/2016 12:00:00 AM,30/09/2016 12:00:00 AM,WGA - BRISTOL & BATH,Signing Only,375217,162710,51.362910159990591,-2.357348438492938,"(51.36291015999059, -2.3573484384929375)",19,39,108,18,1
30006760,REPLACE 127M OF 6IN CI WITH 127M OF 125MM PE AND REPLACE OR TRANSFER APPROX 18 SERVICES,20,Completed,01/08/2016 12:00:00 AM,09/09/2016 12:00:00 AM,WGA - BRISTOL & BATH,Give and Take,372896,164276,51.376884290762554,-2.390804382059158,"(51.376884290762554, -2.3908043820591582)",28,89,464,11,1
600021,REPLACE 1NO. CONCRETE COLUMNS (LC4) WITH 5M STEEL COLUMNS. REPLACE LC 7 WITH 5M MID HINGE COLUMN.,LOWER WESTONBATHBATH AND NORTH EAST SOMERSET,Completed,25/07/2016 12:00:00 AM,29/07/2016 12:00:00 AM,SSE Street Lighting,Signing Only,373414,165564,51.388489869895366,-2.383459029832925,"(51.388489869895366, -2.3834590298329252)",34,54,197,9,1
30009958,REPLACE 133M OF 4IN DI WITH 133M OF 75MM PE AND REPLACE OR TRANSFER APPROX 16 SERVICES,JUNC EVENLODE WAY/WAVENEY ROAD - JUNC EVENLODE WAY/HURN LANE,Completed,01/04/2016 12:00:00 AM,31/03/2017 12:00:00 AM,WGA - BRISTOL & BATH,Give and Take,366272,167307,51.403780702277224,-2.486260339855922,"(51.403780702277224, -2.4862603398559218)",16,47,148,3,1
202683,"New build chamber in f/w (outside church), 20mt of c/w dig required to lay duct from Hibernia chamber to new chamber","High Street Chew Magna, outside entrance to Sacred Heart Church",Completed,02/08/2016 12:00:00 AM,04/08/2016 12:00:00 AM,Bath and North East Somerset Council,Signing Only,357114.74,163082.17,51.365174395056954,-2.617385663500759,"(51.365174395056954, -2.6173856635007593)",6,31,80,21,1
202675,8m of c/w dig to lay duct from Hibernia to new chamber in verge,"Junction of Court Hill/Cockers Hill, Compton Dando",Completed,18/07/2016 12:00:00 AM,20/07/2016 12:00:00 AM,Bath and North East Somerset Council,Signing Only,364484.93,164378.78,51.377342821278503,-2.511656183151447,"(51.3773428212785, -2.511656183151447)",8,41,123,16,1
30015360,NEW GAS SERVICE 4M PUBLIC 10M PRIVATE,O/S 9 BONHILL ROAD,Completed,30/08/2016 12:00:00 AM,02/09/2016 12:00:00 AM,BRISTOL CENTRAL,Two-Way Signals,358811,159865,51.336374036424949,-2.592648769335106,"(51.33637403642495, -2.592648769335106)",4,33,89,21,1
30015239,Repair Service,1,Completed,26/07/2016 12:00:00 AM,28/07/2016 12:00:00 AM,WESSEX WATER (Bath Operations),Signing Only,372950.91,165506.17,51.387947916310395,-2.390109569745332,"(51.387947916310395, -2.390109569745332)",29,16,319,8,1
30015014,NEW GAS SERVICE 6M PUBLIC,O/S 26,Completed,03/08/2016 12:00:00 AM,09/08/2016 12:00:00 AM,BATH,Give and Take,375794,167025,51.401733388662151,-2.349356565823804,"(51.40173338866215, -2.349356565823804)",23,56,223,4,1
30009927,"REPLACE 151M OF 6IN, 4IN CI WITH 151M OF 75MM, 125MM PE AND REPLACE OR TRANSFER APPROX 12 SERVICES.",SOUTH VIEW,Completed,20/06/2016 12:00:00 AM,26/08/2016 12:00:00 AM,WGA - BRISTOL & BATH,Road Closure,375910,168394,51.414047632242145,-2.347782503030324,"(51.414047632242145, -2.3477825030303237)",1,25,51,10,1
30014897,1 joint hole in tarmac footway and 20m trenching in tarmac footway for new supply,Outside 4,Completed,18/07/2016 12:00:00 AM,25/07/2016 12:00:00 AM,1163 NE MENDIP CONSTRUCTION,Signing Only,364533,158409,51.32366953390725,-2.510368576572348,"(51.32366953390725, -2.510368576572348)",3,42,139,23,1
30014922,"Build 1 precast  chamber in 915mm x 445mm x 965mm deep in Footway,Demolish 1 existing jointbox(s) or cabinet base(s),Reposition 190m of 1 way  poly duct in verge","OPP JNC BRADFORD PARK TO OPP 21, FOX HILL",Completed,18/07/2016 12:00:00 AM,29/07/2016 12:00:00 AM,BT,Signing Only,375286.18,162715.93,51.362966508029274,-2.356355232293991,"(51.362966508029274, -2.3563552322939914)",19,36,116,18,1
202682,"New build chamber in verge, opposite to Hibernia chamber","Stanton Road, Chew Magna, opposite entrance to Chew Court Farm",Completed,01/08/2016 12:00:00 AM,03/08/2016 12:00:00 AM,Bath and North East Somerset Council,Signing Only,357990.33,163123.05,51.365607574005345,-2.604814404107454,"(51.365607574005345, -2.604814404107454)",6,31,78,21,1
30015127,TRACE AND REPAIR GAS ESCAPE AND PERMANENTLY REINSTATE WHERE POSSIBLE.,14,Completed,14/07/2016 03:46:00 PM,20/07/2016 12:00:00 AM,BATH,Give and Take,375232,164967,51.383204598121559,-2.357291038211414,"(51.38320459812156, -2.357291038211414)",35,20,11,7,1
30015335,TRACE AND REPAIR GAS ESCAPE AND PERMANENTLY REINSTATE WHERE POSSIBLE.,O/S COUNCIL OFFICES,Completed,29/07/2016 09:45:00 AM,04/08/2016 12:00:00 AM,BATH,Give and Take,366478,154189,51.285843986054779,-2.482059307867456,"(51.28584398605478, -2.4820593078674555)",11,11,291,25,1
600047,Replacement of Street Lights in Trenchyard Road,TRENCHARD ROAD SALTFORDBATH AND NORTH EAST SOMERSET,Completed,23/01/2017 12:00:00 AM,01/03/2017 12:00:00 AM,SSE Street Lighting,Signing Only,367832.75,167052.75,51.401585646211323,-2.463800762368776,"(51.40158564621132, -2.4638007623687765)",17,82,433,16,1
