id,uri,title,published,isbn,author
GBA0Y4339,http://bnb.data.bl.uk/id/resource/008393832,Burial deferred,2000,0754040917,Jonathan Ross
GB8131252,http://bnb.data.bl.uk/id/resource/008783419,Deceit of a pagan,1981,0851194427,Carole Mortimer
GBB010078,http://bnb.data.bl.uk/id/resource/015474398,Dordogne & Lot,2010,1906098921,Michael Pauls
GB97W4412,http://bnb.data.bl.uk/id/resource/008392858,Oxford blood,1997,0754030865,Antonia Fraser
GB99V4706,http://bnb.data.bl.uk/id/resource/008391950,A gift of sanctuary,1999,0754013022,Candace M. Robb
GBA3W2870,http://bnb.data.bl.uk/id/resource/006889656,Charbonneau's gold : a Lewis & Clark story,2003,0786227583,Rita Cleary
GBA0Z5250,http://bnb.data.bl.uk/id/resource/008393670,The friendly air,2000,0754039242,Elizabeth Cadell
GBB1B3545,http://bnb.data.bl.uk/id/resource/015899744,16 Lighthouse Road,2011,1445860236,Debbie Macomber
GBA1X5783,http://bnb.data.bl.uk/id/resource/008392233,Departures and arrivals,2001,0754015955,Eric Newby
GB96W8598,http://bnb.data.bl.uk/id/resource/007713696,Death on the table,1996,0745149871,Claire Rayner
GBB2C6674,http://bnb.data.bl.uk/id/resource/010914914,Designs on life : a collection of short stories,2002,0754048268,Elizabeth Ferrars
GBA666878,http://bnb.data.bl.uk/id/resource/013522734,Cyrano : from the play by Edmond Rostan : for anyone who's ever been hopelessly in love,2006,1405661372,Geraldine McCaughrean
GB99X6550,http://bnb.data.bl.uk/id/resource/007048182,Rescue on Parrot island,1999,1840881771,Jay Bissonet
GBB226622,http://bnb.data.bl.uk/id/resource/016049671,Kitten Kaboodle,2012,1445846454,Anna Wilson
GBA4Y0434,http://bnb.data.bl.uk/id/resource/008395008,Spike Milligan : the biography,2004,0754095487,Humphrey Carpenter
GB8935514,http://bnb.data.bl.uk/id/resource/008422857,Husband in name,1989,0745195474,Brenda Grey
GB9014390,http://bnb.data.bl.uk/id/resource/008422978,A question of proof,1990,0745198082,Nicholas Blake
GBB189270,http://bnb.data.bl.uk/id/resource/015856410,Hell in his holsters,2011,1445856875,Charles N. Heckelmann
GBA455298,http://bnb.data.bl.uk/id/resource/012959537,The other Boleyn girl,2004,1405610085,Philippa Gregory
GBA760266,http://bnb.data.bl.uk/id/resource/013806024,Ryan's brain,2007,1405662174,Michael Lawrence
GB99V2421,http://bnb.data.bl.uk/id/resource/008393544,Death of a dude,1999,0754037983,Rex Stout
GBB150148,http://bnb.data.bl.uk/id/resource/015795262,Kerala,2011,1908206381,David Stott
GB8537502,http://bnb.data.bl.uk/id/resource/009443904,Renegade player,1986,0745102271,Dixie Browning
GB99X6789,http://bnb.data.bl.uk/id/resource/008391938,Still me,1999,0754012891,Christopher Reeve
GBA971716,http://bnb.data.bl.uk/id/resource/015331892,Aunt Dimity slays the dragon,2009,1408441187,Nancy Atherton
GBA827697,http://bnb.data.bl.uk/id/resource/014543089,Short change,2008,1405643749,Patricia Smiley
GB8607622,http://bnb.data.bl.uk/id/resource/009444004,It's not the end of the world,1986,0745103294,Judy Blume
GB8922902,http://bnb.data.bl.uk/id/resource/008422210,Woman in the dark : a novel of dangerous romance,1989,0745109489,Dashiell Hammett
GB98V3496,http://bnb.data.bl.uk/id/resource/008393269,A cat on stage left,1998,075403514X,Lydia Adamson
GBA0W2485,http://bnb.data.bl.uk/id/resource/009492813,South India handbook : the travel guide,2000,1900949814,"Bradnock, Robert W."
GBA8D4279,http://bnb.data.bl.uk/id/resource/014837066,The lean rider,2009,1410409171,Cliff Farrell
GBB1C6513,http://bnb.data.bl.uk/id/resource/015959636,North to Texas,2012,1445860511,Noel M. Loomis
GB98Y4811,http://bnb.data.bl.uk/id/resource/008391776,Storm force to Narvik,1998,0754011240,Alexander Fullerton
GBA548794,http://bnb.data.bl.uk/id/resource/013215754,Crewel yule,2005,1405632216,Monica Ferris
GB8913144,http://bnb.data.bl.uk/id/resource/008422797,Wyoming ambush,1989,1555047963,Al Cody
GBA0W7283,http://bnb.data.bl.uk/id/resource/008393899,The rose rent : the thirteenth chronicle of Brother Cadfael,2000,0754041689,Ellis Peters
GBB1B0814,http://bnb.data.bl.uk/id/resource/015895141,The oracle of Stamboul,2011,1410434915,Michael David Lukas
GBA739396,http://bnb.data.bl.uk/id/resource/013751852,The Boleyn inheritance,2007,1405616962,Philippa Gregory
GBA576089,http://bnb.data.bl.uk/id/resource/013288386,"Murder, London-South Africa",2005,1405685271,John Creasey
GB97Z6503,http://bnb.data.bl.uk/id/resource/007713648,The incomparable,1997,0745149383,Barbara Cartland
GBA2X1161,http://bnb.data.bl.uk/id/resource/008394297,Cutter,2002,0754048802,Thomas Laird
GBA0X1276,http://bnb.data.bl.uk/id/resource/009492811,Indian Himalaya handbook : the travel guide,2000,1900949792,"Bradnock, Robert W."
GBA866554,http://bnb.data.bl.uk/id/resource/014614875,Nurse of the crossroads,2008,1410404595,Colleen L. Reece
GB8646844,http://bnb.data.bl.uk/id/resource/008783369,All the beasts of the field,1986,0851193927,Sylvia Fenton
GB8009402,http://bnb.data.bl.uk/id/resource/010736895,Giant,1980,086220500X,Edna Ferber
GB99X6804,http://bnb.data.bl.uk/id/resource/008391912,Sign of the moon,1999,0754012638,Kay Stephens
GBA643051,http://bnb.data.bl.uk/id/resource/013455410,Darcy & Elizabeth : nights and days at Pemberley : Pride and prejudice continues,2006,1402205635,Linda Berdoll
GBA666833,http://bnb.data.bl.uk/id/resource/013522689,Just Kate,2006,140563619X,Linda Lael Miller
